Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
2017-08-13,22:00 ,Supercopa de España,Supercopa de España,Sun,Neutral,L,1,3,Real Madrid,3,0,0,,,,,,,,,1,,,,,Match Report
2017-08-16,23:00 ,Supercopa de España,Supercopa de España,Wed,Away,L,0,2,Real Madrid,2,0,0,,,,,,,,,0,,,,,Match Report
2017-08-20,20:15 ,La Liga,Matchweek 1,Sun,Home,W,2,0,Betis,2,0,0,16,15,2,6,15,8,0,0,0,83,6,3,66.7,Match Report
2017-08-26,18:15 ,La Liga,Matchweek 2,Sat,Away,W,2,0,Alavés,3,0,0,10,11,0,13,3,11,1,0,0,83,6,6,50.0,Match Report
2017-09-09,20:45 ,La Liga,Matchweek 3,Sat,Home,W,5,0,Espanyol,1,0,0,11,16,3,9,5,9,0,0,0,76,13,5,72.2,Match Report
2017-09-12,20:45 ,Champions Lg,Group stage,Tue,Home,W,3,0,it Juventus,2,0,0,9,16,3,7,10,9,0,0,0,,,,,Match Report
2017-09-16,16:15 ,La Liga,Matchweek 4,Sat,Away,W,2,1,Getafe,4,0,0,14,15,5,8,3,9,0,0,0,84,4,9,30.8,Match Report
2017-09-19,22:00 ,La Liga,Matchweek 5,Tue,Home,W,6,1,Eibar,0,0,0,4,9,2,9,15,12,1,0,0,80,3,5,37.5,Match Report
2017-09-23,20:45 ,La Liga,Matchweek 6,Sat,Away,W,3,0,Girona,0,0,0,6,21,14,5,14,6,0,0,0,73,3,3,50.0,Match Report
2017-09-27,19:45 ,Champions Lg,Group stage,Wed,Away,W,1,0,pt Sporting CP,2,0,0,12,18,4,7,8,10,0,0,0,,,,,Match Report
2017-10-01,16:15 ,La Liga,Matchweek 7,Sun,Home,W,3,0,Las Palmas,5,0,0,10,11,3,13,7,6,0,0,0,73,3,1,75.0,Match Report
2017-10-14,20:45 ,La Liga,Matchweek 8,Sat,Away,D,1,1,Atlético Madrid,2,0,0,10,12,2,17,17,9,0,0,0,103,8,1,88.9,Match Report
2017-10-18,20:45 ,Champions Lg,Group stage,Wed,Home,W,3,1,gr Olympiacos,1,1,1,7,12,1,23,13,9,0,0,0,,,,,Match Report
2017-10-21,20:45 ,La Liga,Matchweek 9,Sat,Home,W,2,0,Málaga,1,0,0,10,10,2,7,11,11,0,0,0,80,2,3,40.0,Match Report
2017-10-24,21:30 ,Copa del Rey,Round of 32,Tue,Away,W,3,0,Real Murcia,0,0,0,,,,,,,,,0,,,,,Match Report
2017-10-28,20:45 ,La Liga,Matchweek 10,Sat,Away,W,2,0,Athletic Club,4,0,0,12,14,5,9,9,10,0,0,0,90,13,11,54.2,Match Report
2017-10-31,21:45 ,Champions Lg,Group stage,Tue,Away,D,0,0,gr Olympiacos,2,0,0,9,10,7,17,7,10,0,0,0,,,,,Match Report
2017-11-04,20:45 ,La Liga,Matchweek 11,Sat,Home,W,2,1,Sevilla,1,0,0,11,12,2,8,10,11,0,0,0,101,4,5,44.4,Match Report
2017-11-18,16:15 ,La Liga,Matchweek 12,Sat,Away,W,3,0,Leganés,2,0,0,10,25,5,8,7,15,0,0,0,87,9,6,60.0,Match Report
2017-11-22,20:45 ,Champions Lg,Group stage,Wed,Away,D,0,0,it Juventus,3,0,0,12,12,2,9,9,14,0,0,0,,,,,Match Report
2017-11-26,20:45 ,La Liga,Matchweek 13,Sun,Away,D,1,1,Valencia,0,0,0,11,11,8,10,6,7,0,0,0,92,9,3,75.0,Match Report
2017-11-29,19:30 ,Copa del Rey,Round of 32,Wed,Home,W,5,0,Real Murcia,0,0,0,,,,,,,,,0,,,,,Match Report
2017-12-02,13:00 ,La Liga,Matchweek 14,Sat,Home,D,2,2,Celta Vigo,3,0,0,11,11,3,17,13,14,0,0,0,101,6,3,66.7,Match Report
2017-12-05,20:45 ,Champions Lg,Group stage,Tue,Home,W,2,0,pt Sporting CP,1,0,0,12,12,3,11,19,18,0,0,0,,,,,Match Report
2017-12-10,20:45 ,La Liga,Matchweek 15,Sun,Away,W,2,0,Villarreal,1,0,0,14,18,5,10,7,10,0,0,0,85,5,3,62.5,Match Report
2017-12-17,20:45 ,La Liga,Matchweek 16,Sun,Home,W,4,0,La Coruña,0,0,0,12,10,2,10,4,8,1,0,0,81,1,7,12.5,Match Report
2017-12-23,13:00 ,La Liga,Matchweek 17,Sat,Away,W,3,0,Real Madrid,2,0,0,10,13,1,9,16,8,0,0,0,66,7,8,46.7,Match Report
2018-01-04,19:00 ,Copa del Rey,Round of 16,Thu,Away,D,1,1,Celta Vigo,1,0,0,,,,,,,,,0,,,,,Match Report
2018-01-07,16:15 ,La Liga,Matchweek 18,Sun,Home,W,3,0,Levante,0,0,0,10,21,5,12,8,10,0,0,0,71,1,5,16.7,Match Report
2018-01-11,21:30 ,Copa del Rey,Round of 16,Thu,Home,W,5,0,Celta Vigo,0,0,0,,,,,,,,,0,,,,,Match Report
2018-01-14,20:45 ,La Liga,Matchweek 19,Sun,Away,W,4,2,Real Sociedad,2,0,0,13,14,5,9,6,5,0,0,0,64,6,4,60.0,Match Report
2018-01-17,21:00 ,Copa del Rey,Quarter-finals,Wed,Away,L,0,1,Espanyol,5,0,0,,,,,,,,,0,,,,,Match Report
2018-01-21,20:45 ,La Liga,Matchweek 20,Sun,Away,W,5,0,Betis,2,0,0,9,13,7,7,7,9,0,0,0,87,4,4,50.0,Match Report
2018-01-25,21:30 ,Copa del Rey,Quarter-finals,Thu,Home,W,2,0,Espanyol,4,0,0,,,,,,,,,0,,,,,Match Report
2018-01-28,20:45 ,La Liga,Matchweek 21,Sun,Home,W,2,1,Alavés,0,0,0,6,17,2,11,11,11,0,0,0,94,11,10,52.4,Match Report
2018-02-01,21:30 ,Copa del Rey,Semi-finals,Thu,Home,W,1,0,Valencia,1,0,0,,,,,,,,,0,,,,,Match Report
2018-02-04,16:15 ,La Liga,Matchweek 22,Sun,Away,D,1,1,Espanyol,3,0,0,12,15,0,13,11,14,0,0,0,89,3,3,50.0,Match Report
2018-02-08,21:30 ,Copa del Rey,Semi-finals,Thu,Away,W,2,0,Valencia,0,0,0,,,,,,,,,0,,,,,Match Report
2018-02-11,16:15 ,La Liga,Matchweek 23,Sun,Home,D,0,0,Getafe,2,0,0,7,13,7,14,12,6,0,0,0,101,15,7,68.2,Match Report
2018-02-17,16:15 ,La Liga,Matchweek 24,Sat,Away,W,2,0,Eibar,1,0,0,6,12,6,5,10,12,0,0,0,94,13,5,72.2,Match Report
2018-02-20,19:45 ,Champions Lg,Round of 16,Tue,Away,D,1,1,eng Chelsea,3,0,0,13,15,0,13,8,15,0,0,0,,,,,Match Report
2018-02-24,20:45 ,La Liga,Matchweek 25,Sat,Home,W,6,1,Girona,1,0,0,11,10,3,11,8,7,0,0,0,80,6,3,66.7,Match Report
2018-03-01,20:00 ,La Liga,Matchweek 26,Thu,Away,D,1,1,Las Palmas,3,0,0,14,17,1,5,2,9,0,1,0,79,7,4,63.6,Match Report
2018-03-04,16:15 ,La Liga,Matchweek 27,Sun,Home,W,1,0,Atlético Madrid,2,0,0,16,19,2,7,10,6,0,0,0,108,10,4,71.4,Match Report
2018-03-10,20:45 ,La Liga,Matchweek 28,Sat,Away,W,2,0,Málaga,1,0,0,10,14,4,31,15,10,0,0,0,84,11,7,61.1,Match Report
2018-03-14,20:45 ,Champions Lg,Round of 16,Wed,Home,W,3,0,eng Chelsea,1,0,0,11,17,1,6,17,15,0,0,0,,,,,Match Report
2018-03-18,16:15 ,La Liga,Matchweek 29,Sun,Home,W,2,0,Athletic Club,2,0,0,7,13,1,5,12,8,0,0,0,99,9,8,52.9,Match Report
2018-03-31,20:45 ,La Liga,Matchweek 30,Sat,Away,D,2,2,Sevilla,0,0,0,7,11,3,11,14,4,0,0,0,76,5,3,62.5,Match Report
2018-04-04,20:45 ,Champions Lg,Quarter-finals,Wed,Home,W,4,1,it Roma,0,0,0,8,8,3,7,17,12,0,0,0,,,,,Match Report
2018-04-07,20:45 ,La Liga,Matchweek 31,Sat,Home,W,3,1,Leganés,2,0,0,14,12,4,7,10,16,0,0,0,85,13,6,68.4,Match Report
2018-04-10,20:45 ,Champions Lg,Quarter-finals,Tue,Away,L,0,3,it Roma,3,0,0,11,19,4,5,10,6,0,1,0,,,,,Match Report
2018-04-14,16:15 ,La Liga,Matchweek 32,Sat,Home,W,2,1,Valencia,2,0,0,9,11,1,14,12,10,0,1,0,62,2,3,40.0,Match Report
2018-04-17,21:00 ,La Liga,Matchweek 33,Tue,Away,D,2,2,Celta Vigo,0,1,0,7,9,2,6,10,10,0,0,0,92,7,5,58.3,Match Report
2018-04-21,21:30 ,Copa del Rey,Final,Sat,Neutral,W,5,0,Sevilla,2,0,0,,,,,,,,,0,,,,,Match Report
2018-04-29,20:45 ,La Liga,Matchweek 35,Sun,Away,W,4,2,La Coruña,1,0,0,9,9,1,11,7,4,0,0,0,74,4,2,66.7,Match Report
2018-05-06,20:45 ,La Liga,Matchweek 36,Sun,Home,D,2,2,Real Madrid,3,1,0,8,20,5,5,5,8,0,0,0,66,3,4,42.9,Match Report
2018-05-09,20:00 ,La Liga,Matchweek 34,Wed,Home,W,5,1,Villarreal,0,0,0,7,14,5,6,7,7,0,0,0,74,0,2,0.0,Match Report
2018-05-13,20:45 ,La Liga,Matchweek 37,Sun,Away,L,4,5,Levante,6,0,0,12,18,5,15,10,4,1,0,0,71,6,2,75.0,Match Report
2018-05-20,20:45 ,La Liga,Matchweek 38,Sun,Home,W,1,0,Real Sociedad,3,0,0,14,12,3,10,4,11,0,0,0,70,4,6,40.0,Match Report
