Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Match Report
2020-06-23,22:00 ,La Liga,Matchweek 31,Tue,Home,W,1,0,Athletic Club,32,21,2,5,2,2,0,2,1,0,1,0,0,0,0,Match Report
2020-06-27,17:00 ,La Liga,Matchweek 32,Sat,Away,D,2,2,Celta Vigo,28,20,2,4,0,2,0,3,1,1,0,0,1,0,0,Match Report
2020-06-30,22:00 ,La Liga,Matchweek 33,Tue,Home,D,2,2,Atlético Madrid,24,16,2,0,1,4,1,3,1,0,0,1,1,0,0,Match Report
2020-07-05,22:00 ,La Liga,Matchweek 34,Sun,Away,W,4,1,Villarreal,37,30,1,2,2,2,0,8,7,0,1,0,0,0,0,Match Report
2020-07-08,22:00 ,La Liga,Matchweek 35,Wed,Home,W,1,0,Espanyol,17,12,1,0,2,2,0,1,0,0,0,1,0,0,0,Match Report
2020-07-11,19:30 ,La Liga,Matchweek 36,Sat,Away,W,1,0,Valladolid,16,12,1,2,0,1,0,2,2,0,0,0,0,0,0,Match Report
2020-07-16,21:00 ,La Liga,Matchweek 37,Thu,Home,L,1,2,Osasuna,35,24,1,4,0,6,0,2,1,0,0,0,1,0,0,Match Report
2020-07-19,17:00 ,La Liga,Matchweek 38,Sun,Away,W,5,0,Alavés,31,27,0,2,1,1,0,10,9,0,1,0,0,0,0,Match Report
2020-08-08,21:00 ,Champions Lg,Round of 16,Sat,Home,W,3,1,it Napoli,11,7,1,0,1,1,1,4,0,1,0,1,1,1,0,Match Report
2020-08-14,20:00 ,Champions Lg,Quarter-finals,Fri,Neutral,L,2,8,de Bayern Munich,13,11,0,2,0,0,0,4,3,0,1,0,0,0,0,Match Report
