Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Match Report
2019-08-16,21:00 ,La Liga,Matchweek 1,Fri,Away,L,0,1,Athletic Club,15,9,3,2,0,1,0,0,0,0,0,0,0,0,0,Match Report
2019-08-25,21:00 ,La Liga,Matchweek 2,Sun,Home,W,5,2,Betis,36,31,1,2,0,1,1,9,8,0,1,0,0,0,0,Match Report
2019-08-31,17:00 ,La Liga,Matchweek 3,Sat,Away,D,2,2,Osasuna,14,13,0,0,0,0,1,4,3,0,0,0,0,1,0,Match Report
2019-09-14,21:00 ,La Liga,Matchweek 4,Sat,Home,W,5,2,Valencia,28,21,1,3,2,1,0,9,7,0,1,1,0,0,0,Match Report
2019-09-17,21:00 ,Champions Lg,Group stage,Tue,Away,D,0,0,de Dortmund,10,7,1,1,1,0,0,0,0,0,0,0,0,0,0,Match Report
2019-09-21,21:00 ,La Liga,Matchweek 5,Sat,Away,L,0,2,Granada,12,10,0,0,0,2,0,0,0,0,0,0,0,0,0,Match Report
2019-09-24,21:00 ,La Liga,Matchweek 6,Tue,Home,W,2,1,Villarreal,17,14,1,1,0,1,0,4,3,1,0,0,0,0,0,Match Report
2019-09-28,16:00 ,La Liga,Matchweek 7,Sat,Away,W,2,0,Getafe,14,12,0,0,1,0,1,2,1,0,0,1,0,0,0,Match Report
2019-10-02,21:00 ,Champions Lg,Group stage,Wed,Home,W,2,1,it Inter,33,28,0,3,0,2,0,4,3,0,1,0,0,0,0,Match Report
2019-10-06,21:00 ,La Liga,Matchweek 8,Sun,Home,W,4,0,Sevilla,28,20,1,4,1,2,0,7,6,0,1,0,0,0,0,Match Report
2019-10-19,13:00 ,La Liga,Matchweek 9,Sat,Away,W,3,0,Eibar,17,14,0,1,0,1,1,6,6,0,0,0,0,0,0,Match Report
2019-10-23,21:00 ,Champions Lg,Group stage,Wed,Away,W,2,1,cz Slavia Prague,21,16,2,1,0,1,0,4,2,1,0,0,0,0,1,Match Report
2019-10-29,21:15 ,La Liga,Matchweek 11,Tue,Home,W,5,1,Valladolid,29,18,2,5,1,3,0,7,6,0,0,0,1,0,0,Match Report
2019-11-02,16:00 ,La Liga,Matchweek 12,Sat,Away,L,1,3,Levante,17,14,0,1,1,1,0,2,1,0,0,0,1,0,0,Match Report
2019-11-05,18:55 ,Champions Lg,Group stage,Tue,Home,D,0,0,cz Slavia Prague,23,18,1,0,1,3,0,0,0,0,0,0,0,0,0,Match Report
2019-11-09,21:00 ,La Liga,Matchweek 13,Sat,Home,W,4,1,Celta Vigo,14,7,0,3,0,3,1,6,3,0,0,0,3,0,0,Match Report
2019-11-23,13:00 ,La Liga,Matchweek 14,Sat,Away,W,2,1,Leganés,20,12,3,1,1,2,1,2,0,1,0,0,1,0,0,Match Report
2019-11-27,21:00 ,Champions Lg,Group stage,Wed,Home,W,3,1,de Dortmund,19,15,0,2,0,2,0,5,5,0,0,0,0,0,0,Match Report
2019-12-01,21:00 ,La Liga,Matchweek 15,Sun,Away,W,1,0,Atlético Madrid,18,15,1,0,2,0,0,2,2,0,0,0,0,0,0,Match Report
2019-12-07,21:00 ,La Liga,Matchweek 16,Sat,Home,W,5,2,Mallorca,44,38,2,4,0,0,0,9,8,1,0,0,0,0,0,Match Report
2019-12-10,21:00 ,Champions Lg,Group stage,Tue,Away,W,2,1,it Inter,31,23,1,3,1,2,1,4,4,0,0,0,0,0,0,Match Report
2019-12-14,16:00 ,La Liga,Matchweek 17,Sat,Away,D,2,2,Real Sociedad,17,15,1,1,0,0,0,4,4,0,0,0,0,0,0,Match Report
2019-12-18,20:00 ,La Liga,Matchweek 10,Wed,Home,D,0,0,Real Madrid,18,15,1,1,0,1,0,0,0,0,0,0,0,0,0,Match Report
2019-12-21,16:00 ,La Liga,Matchweek 18,Sat,Home,W,4,1,Alavés,15,9,0,4,1,1,0,7,6,0,0,1,0,0,0,Match Report
2020-01-04,21:00 ,La Liga,Matchweek 19,Sat,Away,D,2,2,Espanyol,24,13,3,5,0,2,1,4,3,0,1,0,0,0,0,Match Report
2020-01-09,20:00 ,Supercopa de España,Semi-finals,Thu,Home,L,2,3,Atlético Madrid,,,,,,,,,,,,,,,,Match Report
2020-01-19,21:00 ,La Liga,Matchweek 20,Sun,Home,W,1,0,Granada,34,29,0,1,1,3,0,2,2,0,0,0,0,0,0,Match Report
2020-01-22,19:00 ,Copa del Rey,Round of 32,Wed,Away,W,2,1,UD Ibiza,,,,,,,,,,,,,,,,Match Report
2020-01-25,16:00 ,La Liga,Matchweek 21,Sat,Away,L,0,2,Valencia,24,20,0,0,0,4,0,0,0,0,0,0,0,0,0,Match Report
2020-01-30,19:00 ,Copa del Rey,Round of 16,Thu,Home,W,5,0,Leganés,,,,,,,,,,,,,,,,Match Report
2020-02-02,21:00 ,La Liga,Matchweek 22,Sun,Home,W,2,1,Levante,42,28,1,10,2,1,0,4,3,0,1,0,0,0,0,Match Report
2020-02-06,21:00 ,Copa del Rey,Quarter-finals,Thu,Away,L,0,1,Athletic Club,,,,,,,,,,,,,,,,Match Report
2020-02-09,21:00 ,La Liga,Matchweek 23,Sun,Away,W,3,2,Betis,20,13,3,1,1,2,0,6,2,2,0,0,2,0,0,Match Report
2020-02-15,16:00 ,La Liga,Matchweek 24,Sat,Home,W,2,1,Getafe,23,21,0,0,1,1,0,4,4,0,0,0,0,0,0,Match Report
2020-02-22,16:00 ,La Liga,Matchweek 25,Sat,Home,W,5,0,Eibar,21,13,1,3,3,1,0,7,4,0,2,1,0,0,0,Match Report
2020-02-25,21:00 ,Champions Lg,Round of 16,Tue,Away,D,1,1,it Napoli,10,8,1,0,1,0,0,2,2,0,0,0,0,0,0,Match Report
2020-03-01,21:00 ,La Liga,Matchweek 26,Sun,Away,L,0,2,Real Madrid,17,14,1,1,0,1,0,0,0,0,0,0,0,0,0,Match Report
2020-03-07,18:30 ,La Liga,Matchweek 27,Sat,Home,W,1,0,Real Sociedad,23,19,1,1,1,1,0,0,0,0,0,0,0,0,0,Match Report
2020-06-13,22:00 ,La Liga,Matchweek 28,Sat,Away,W,4,0,Mallorca,23,18,1,2,2,0,0,8,7,0,1,0,0,0,0,Match Report
2020-06-16,22:00 ,La Liga,Matchweek 29,Tue,Home,W,2,0,Leganés,17,12,1,1,0,3,0,4,2,0,1,0,1,0,0,Match Report
2020-06-19,22:00 ,La Liga,Matchweek 30,Fri,Away,D,0,0,Sevilla,18,14,0,1,0,3,0,0,0,0,0,0,0,0,0,Match Report
