Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Match Report
2015-08-02,15:00 ,Community Shield,FA Community Shield,Sun,Neutral,L,0,1,Arsenal,1,0,0,,,,,,,,,0,Match Report
2015-08-08,17:30 ,Premier League,Matchweek 1,Sat,Home,D,2,2,Swansea City,1,1,0,15,15,2,23,13,12,,,0,Match Report
2015-08-16,16:00 ,Premier League,Matchweek 2,Sun,Away,L,0,3,Manchester City,2,0,0,13,19,3,16,15,15,,,0,Match Report
2015-08-23,13:30 ,Premier League,Matchweek 3,Sun,Away,W,3,2,West Brom,1,1,0,12,8,1,11,9,9,,,0,Match Report
2015-08-29,15:00 ,Premier League,Matchweek 4,Sat,Home,L,1,2,Crystal Palace,1,0,0,9,15,0,23,9,14,,,0,Match Report
2015-09-12,12:45 ,Premier League,Matchweek 5,Sat,Away,L,1,3,Everton,2,0,0,12,12,2,32,11,17,,,0,Match Report
2015-09-16,19:45 ,Champions Lg,Group stage,Wed,Home,W,4,0,il Maccabi Tel Aviv,1,0,0,15,15,3,16,9,17,0,0,0,Match Report
2015-09-19,12:45 ,Premier League,Matchweek 6,Sat,Home,W,2,0,Arsenal,3,0,0,12,10,0,14,11,21,,,0,Match Report
2015-09-23,19:45 ,League Cup,Third round,Wed,Away,W,4,1,Walsall,2,0,0,,,,,,,,,0,Match Report
2015-09-26,17:30 ,Premier League,Matchweek 7,Sat,Away,D,2,2,Newcastle Utd,2,0,0,15,12,3,21,13,24,,,0,Match Report
2015-09-29,19:45 ,Champions Lg,Group stage,Tue,Away,L,1,2,pt Porto,3,0,0,13,14,4,12,21,24,0,0,0,Match Report
2015-10-03,17:30 ,Premier League,Matchweek 8,Sat,Home,L,1,3,Southampton,2,0,0,14,13,1,14,18,15,,,0,Match Report
2015-10-17,15:00 ,Premier League,Matchweek 9,Sat,Home,W,2,0,Aston Villa,1,0,0,22,17,1,12,21,22,,,0,Match Report
2015-10-20,21:45 ,Champions Lg,Group stage,Tue,Away,D,0,0,ua Dynamo Kyiv,1,0,0,15,17,2,13,13,23,0,0,0,Match Report
2015-10-24,15:00 ,Premier League,Matchweek 10,Sat,Away,L,1,2,West Ham,7,1,1,12,10,5,11,15,17,,,0,Match Report
2015-10-27,19:45 ,League Cup,Fourth round,Tue,Away,L,1 (4),1 (5),Stoke City,1,0,0,,,,,,,,,0,Match Report
2015-10-31,12:45 ,Premier League,Matchweek 11,Sat,Home,L,1,3,Liverpool,1,0,0,9,21,3,12,17,28,,,0,Match Report
2015-11-04,19:45 ,Champions Lg,Group stage,Wed,Home,W,2,1,ua Dynamo Kyiv,0,0,0,13,18,4,24,15,24,0,0,0,Match Report
2015-11-07,17:30 ,Premier League,Matchweek 12,Sat,Away,L,0,1,Stoke City,1,0,0,10,12,1,18,14,15,,,0,Match Report
2015-11-21,15:00 ,Premier League,Matchweek 13,Sat,Home,W,1,0,Norwich City,1,0,0,4,12,6,29,13,19,,,0,Match Report
2015-11-24,21:45 ,Champions Lg,Group stage,Tue,Away,W,4,0,il Maccabi Tel Aviv,2,0,0,11,13,5,17,15,10,0,0,0,Match Report
2015-11-29,12:00 ,Premier League,Matchweek 14,Sun,Away,D,0,0,Tottenham,2,0,0,9,14,4,15,26,15,,,0,Match Report
2015-12-05,17:30 ,Premier League,Matchweek 15,Sat,Home,L,0,1,Bournemouth,2,0,0,10,13,2,44,17,19,,,0,Match Report
2015-12-09,19:45 ,Champions Lg,Group stage,Wed,Home,W,2,0,pt Porto,3,0,0,15,21,1,20,15,40,0,0,0,Match Report
2015-12-14,20:00 ,Premier League,Matchweek 16,Mon,Away,L,1,2,Leicester City,0,0,0,8,14,2,32,18,10,,,0,Match Report
2015-12-19,15:00 ,Premier League,Matchweek 17,Sat,Home,W,3,1,Sunderland,1,0,0,12,12,0,17,15,13,,,0,Match Report
2015-12-26,15:00 ,Premier League,Matchweek 18,Sat,Home,D,2,2,Watford,1,0,0,7,13,2,27,5,17,,,0,Match Report
2015-12-28,17:30 ,Premier League,Matchweek 19,Mon,Away,D,0,0,Manchester Utd,2,0,0,6,16,0,10,14,23,,,0,Match Report
2016-01-03,13:30 ,Premier League,Matchweek 20,Sun,Away,W,3,0,Crystal Palace,0,0,0,15,12,0,12,14,20,,,0,Match Report
2016-01-10,14:00 ,FA Cup,Third round,Sun,Home,W,2,0,Scunthorpe Utd,1,0,0,,,,,,,,,0,Match Report
2016-01-13,19:45 ,Premier League,Matchweek 21,Wed,Home,D,2,2,West Brom,3,0,0,13,8,1,15,16,11,,,0,Match Report
2016-01-16,15:00 ,Premier League,Matchweek 22,Sat,Home,D,3,3,Everton,1,0,0,12,4,3,31,21,22,,,1,Match Report
2016-01-24,16:00 ,Premier League,Matchweek 23,Sun,Away,W,1,0,Arsenal,3,0,0,13,13,7,15,13,19,,,0,Match Report
2016-01-31,16:00 ,FA Cup,Fourth round,Sun,Away,W,5,1,MK Dons,1,0,0,,,,,,,,,0,Match Report
2016-02-03,19:45 ,Premier League,Matchweek 24,Wed,Away,D,0,0,Watford,1,0,0,13,9,2,22,21,18,,,0,Match Report
2016-02-07,16:00 ,Premier League,Matchweek 25,Sun,Home,D,1,1,Manchester Utd,0,0,0,6,8,1,32,8,16,,,0,Match Report
2016-02-13,17:30 ,Premier League,Matchweek 26,Sat,Home,W,5,1,Newcastle Utd,0,0,0,11,16,2,14,12,14,,,0,Match Report
2016-02-16,20:45 ,Champions Lg,Round of 16,Tue,Away,L,1,2,fr Paris S-G,2,0,0,15,16,2,12,22,22,0,0,0,Match Report
