Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,PK,PKatt,Match Report
2017-03-08,20:45 ,Champions Lg,Round of 16,Wed,Home,W,6,1,fr Paris S-G,5,20,9,45.0,0.15,0.33,,2,2,Match Report
2017-03-12,16:15 ,La Liga,Matchweek 27,Sun,Away,L,1,2,La Coruña,1,16,5,31.3,0.06,0.20,,0,0,Match Report
2017-03-19,20:45 ,La Liga,Matchweek 28,Sun,Home,W,4,2,Valencia,4,28,12,42.9,0.11,0.25,,1,1,Match Report
2017-04-02,20:45 ,La Liga,Matchweek 29,Sun,Away,W,4,1,Granada,4,26,12,46.2,0.15,0.33,,0,0,Match Report
2017-04-05,19:30 ,La Liga,Matchweek 30,Wed,Home,W,3,0,Sevilla,3,16,7,43.8,0.19,0.43,,0,0,Match Report
2017-04-08,20:45 ,La Liga,Matchweek 31,Sat,Away,L,0,2,Málaga,0,11,3,27.3,0.00,0.00,,0,0,Match Report
2017-04-11,20:45 ,Champions Lg,Quarter-finals,Tue,Away,L,0,3,it Juventus,0,16,4,25.0,0.00,0.00,,0,0,Match Report
2017-04-15,20:45 ,La Liga,Matchweek 32,Sat,Home,W,3,2,Real Sociedad,3,16,9,56.3,0.19,0.33,,0,0,Match Report
2017-04-19,20:45 ,Champions Lg,Quarter-finals,Wed,Home,D,0,0,it Juventus,0,19,1,5.3,0.00,0.00,,0,0,Match Report
2017-04-23,20:45 ,La Liga,Matchweek 33,Sun,Away,W,3,2,Real Madrid,3,16,9,56.3,0.19,0.33,,0,0,Match Report
2017-04-26,19:30 ,La Liga,Matchweek 34,Wed,Home,W,7,1,Osasuna,7,19,9,47.4,0.32,0.67,,1,1,Match Report
2017-04-29,20:45 ,La Liga,Matchweek 35,Sat,Away,W,3,0,Espanyol,3,15,9,60.0,0.20,0.33,,0,0,Match Report
2017-05-06,18:30 ,La Liga,Matchweek 36,Sat,Home,W,4,1,Villarreal,4,20,8,40.0,0.15,0.38,,1,1,Match Report
2017-05-14,19:00 ,La Liga,Matchweek 37,Sun,Away,W,4,1,Las Palmas,4,11,5,45.5,0.36,0.80,,0,0,Match Report
2017-05-21,20:00 ,La Liga,Matchweek 38,Sun,Home,W,4,2,Eibar,3,18,11,61.1,0.11,0.18,,1,2,Match Report
2017-05-27,21:30 ,Copa del Rey,Final,Sat,Home,W,3,1,Alavés,3,,,,,,,0,0,Match Report
