Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-02-06,21:00 ,Copa del Rey,Quarter-finals,Thu,Away,L,0,1,Athletic Club,0,11,5,45.5,0.00,0.00,,,0,0,,,,,,Match Report
2020-02-09,21:00 ,La Liga,Matchweek 23,Sun,Away,W,3,2,Betis,3,10,6,60.0,0.30,0.50,12.1,0,0,0,1.5,1.5,0.15,+1.5,+1.5,Match Report
2020-02-15,16:00 ,La Liga,Matchweek 24,Sat,Home,W,2,1,Getafe,2,12,5,41.7,0.17,0.40,17.1,1,0,0,1.8,1.8,0.15,+0.2,+0.2,Match Report
2020-02-22,16:00 ,La Liga,Matchweek 25,Sat,Home,W,5,0,Eibar,5,13,10,76.9,0.38,0.50,11.1,1,0,0,3.9,3.9,0.34,+1.1,+1.1,Match Report
2020-02-25,21:00 ,Champions Lg,Round of 16,Tue,Away,D,1,1,it Napoli,1,7,1,14.3,0.14,1.00,16.5,0,0,0,1.0,1.0,0.15,0.0,0.0,Match Report
2020-03-01,21:00 ,La Liga,Matchweek 26,Sun,Away,L,0,2,Real Madrid,0,9,4,44.4,0.00,0.00,15.4,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Match Report
2020-03-07,18:30 ,La Liga,Matchweek 27,Sat,Home,W,1,0,Real Sociedad,1,12,5,41.7,0.00,0.00,15.1,1,1,1,1.9,1.2,0.11,-0.9,-1.2,Match Report
2020-06-13,22:00 ,La Liga,Matchweek 28,Sat,Away,W,4,0,Mallorca,4,12,7,58.3,0.33,0.57,10.2,0,0,0,2.4,2.4,0.20,+1.6,+1.6,Match Report
2020-06-16,22:00 ,La Liga,Matchweek 29,Tue,Home,W,2,0,Leganés,2,9,4,44.4,0.11,0.25,16.9,2,1,1,1.5,0.7,0.09,+0.5,+0.3,Match Report
2020-06-19,22:00 ,La Liga,Matchweek 30,Fri,Away,D,0,0,Sevilla,0,10,3,30.0,0.00,0.00,20.8,3,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
2020-06-23,22:00 ,La Liga,Matchweek 31,Tue,Home,W,1,0,Athletic Club,1,18,5,27.8,0.06,0.20,17.5,2,0,0,1.7,1.7,0.09,-0.7,-0.7,Match Report
2020-06-27,17:00 ,La Liga,Matchweek 32,Sat,Away,D,2,2,Celta Vigo,2,18,2,11.1,0.11,1.00,18.0,1,0,0,1.8,1.8,0.10,+0.2,+0.2,Match Report
2020-06-30,22:00 ,La Liga,Matchweek 33,Tue,Home,D,2,2,Atlético Madrid,1,11,4,36.4,0.00,0.00,19.1,2,1,1,1.4,0.7,0.07,-0.4,-0.7,Match Report
2020-07-05,22:00 ,La Liga,Matchweek 34,Sun,Away,W,4,1,Villarreal,3,18,13,72.2,0.17,0.23,14.5,2,0,0,3.0,3.0,0.17,0.0,0.0,Match Report
2020-07-08,22:00 ,La Liga,Matchweek 35,Wed,Home,W,1,0,Espanyol,1,9,2,22.2,0.11,0.50,13.9,2,0,0,1.1,1.1,0.14,-0.1,-0.1,Match Report
2020-07-11,19:30 ,La Liga,Matchweek 36,Sat,Away,W,1,0,Valladolid,1,10,6,60.0,0.10,0.17,16.5,1,0,0,1.4,1.4,0.14,-0.4,-0.4,Match Report
2020-07-16,21:00 ,La Liga,Matchweek 37,Thu,Home,L,1,2,Osasuna,1,18,2,11.1,0.06,0.50,22.9,5,0,0,1.4,1.4,0.08,-0.4,-0.4,Match Report
2020-07-19,17:00 ,La Liga,Matchweek 38,Sun,Away,W,5,0,Alavés,5,16,8,50.0,0.31,0.63,13.1,1,0,0,3.0,3.0,0.19,+2.0,+2.0,Match Report
2020-08-08,21:00 ,Champions Lg,Round of 16,Sat,Home,W,3,1,it Napoli,3,6,3,50.0,0.33,0.67,16.9,0,1,1,1.2,0.4,0.09,+1.8,+1.6,Match Report
2020-08-14,20:00 ,Champions Lg,Quarter-finals,Fri,Neutral,L,2,8,de Bayern Munich,1,7,5,71.4,0.14,0.20,15.0,0,0,0,1.3,1.3,0.18,-0.3,-0.3,Match Report
