Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Match Report
2019-08-16,21:00 ,La Liga,Matchweek 1,Fri,Away,L,0,1,Athletic Club,708,655,53,16,0,62,12,9,8,6,0,0,498,87,123,269,382,23,17,8,607,1,14,4,18,Match Report
2019-08-25,21:00 ,La Liga,Matchweek 2,Sun,Home,W,5,2,Betis,830,782,48,14,3,65,20,22,11,2,5,0,663,70,97,361,427,16,17,4,749,4,6,16,13,Match Report
2019-08-31,17:00 ,La Liga,Matchweek 3,Sat,Away,D,2,2,Osasuna,775,720,55,16,1,130,18,10,2,0,1,0,607,72,96,301,405,21,25,9,669,1,18,11,15,Match Report
2019-09-14,21:00 ,La Liga,Matchweek 4,Sat,Home,W,5,2,Valencia,796,763,33,12,1,93,7,15,2,2,0,0,675,70,51,318,439,17,13,7,723,0,5,9,12,Match Report
2019-09-17,21:00 ,Champions Lg,Group stage,Tue,Away,D,0,0,de Dortmund,694,654,40,12,0,50,21,11,8,7,0,0,482,119,93,199,447,23,11,10,606,0,3,19,11,Match Report
2019-09-21,21:00 ,La Liga,Matchweek 5,Sat,Away,L,0,2,Granada,691,630,61,21,0,100,14,14,5,4,1,0,540,95,56,234,403,18,27,6,610,1,7,13,10,Match Report
2019-09-24,21:00 ,La Liga,Matchweek 6,Tue,Home,W,2,1,Villarreal,679,623,56,15,1,110,14,11,6,3,2,0,531,86,62,225,401,15,25,10,597,4,8,7,12,Match Report
2019-09-28,16:00 ,La Liga,Matchweek 7,Sat,Away,W,2,0,Getafe,485,427,58,25,3,205,25,5,1,0,0,0,332,53,100,157,284,14,19,9,398,3,7,13,10,Match Report
2019-10-02,21:00 ,Champions Lg,Group stage,Wed,Home,W,2,1,it Inter,797,758,39,20,2,159,6,7,3,1,0,0,625,104,68,207,551,14,9,14,719,2,4,14,9,Match Report
2019-10-06,21:00 ,La Liga,Matchweek 8,Sun,Home,W,4,0,Sevilla,591,553,38,11,3,49,11,6,7,3,1,0,475,70,46,124,442,5,8,8,533,3,3,7,9,Match Report
2019-10-19,13:00 ,La Liga,Matchweek 9,Sat,Away,W,3,0,Eibar,623,574,49,14,4,145,12,6,2,1,0,0,449,95,79,273,299,14,20,11,529,5,6,11,15,Match Report
2019-10-23,21:00 ,Champions Lg,Group stage,Wed,Away,W,2,1,cz Slavia Prague,544,490,54,18,12,88,11,8,5,2,1,0,381,87,76,193,294,22,18,7,443,0,7,15,18,Match Report
2019-10-29,21:15 ,La Liga,Matchweek 11,Tue,Home,W,5,1,Valladolid,671,627,44,12,6,72,15,6,6,2,1,0,507,101,63,218,408,17,19,3,575,1,6,14,17,Match Report
2019-11-02,16:00 ,La Liga,Matchweek 12,Sat,Away,L,1,3,Levante,693,651,42,12,1,123,11,6,3,3,0,0,539,89,65,227,423,11,18,7,613,5,8,4,11,Match Report
2019-11-05,18:55 ,Champions Lg,Group stage,Tue,Home,D,0,0,cz Slavia Prague,669,615,54,18,5,145,16,5,6,1,3,0,535,66,68,225,396,12,19,12,571,3,8,6,17,Match Report
2019-11-09,21:00 ,La Liga,Matchweek 13,Sat,Home,W,4,1,Celta Vigo,705,670,35,15,0,65,8,5,2,0,1,0,553,98,54,239,423,15,12,11,634,1,7,10,9,Match Report
