Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Match Report
2015-08-02,15:00 ,Community Shield,FA Community Shield,Sun,Neutral,L,0,1,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-08-08,17:30 ,Premier League,Matchweek 1,Sat,Home,D,2,2,Swansea City,,,,,,,,23,,,,,,,,,,,,,,,,,,Match Report
2015-08-16,16:00 ,Premier League,Matchweek 2,Sun,Away,L,0,3,Manchester City,,,,,,,,16,,,,,,,,,,,,,,,,,,Match Report
2015-08-23,13:30 ,Premier League,Matchweek 3,Sun,Away,W,3,2,West Brom,,,,,,,,11,,,,,,,,,,,,,,,,,,Match Report
2015-08-29,15:00 ,Premier League,Matchweek 4,Sat,Home,L,1,2,Crystal Palace,,,,,,,,23,,,,,,,,,,,,,,,,,,Match Report
2015-09-12,12:45 ,Premier League,Matchweek 5,Sat,Away,L,1,3,Everton,,,,,,,,32,,,,,,,,,,,,,,,,,,Match Report
2015-09-16,19:45 ,Champions Lg,Group stage,Wed,Home,W,4,0,il Maccabi Tel Aviv,,,,,,,,16,,,,,,,,,,,,,,,,,,Match Report
2015-09-19,12:45 ,Premier League,Matchweek 6,Sat,Home,W,2,0,Arsenal,,,,,,,,14,,,,,,,,,,,,,,,,,,Match Report
2015-09-23,19:45 ,League Cup,Third round,Wed,Away,W,4,1,Walsall,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-09-26,17:30 ,Premier League,Matchweek 7,Sat,Away,D,2,2,Newcastle Utd,,,,,,,,21,,,,,,,,,,,,,,,,,,Match Report
2015-09-29,19:45 ,Champions Lg,Group stage,Tue,Away,L,1,2,pt Porto,,,,,,,,12,,,,,,,,,,,,,,,,,,Match Report
2015-10-03,17:30 ,Premier League,Matchweek 8,Sat,Home,L,1,3,Southampton,,,,,,,,14,,,,,,,,,,,,,,,,,,Match Report
2015-10-17,15:00 ,Premier League,Matchweek 9,Sat,Home,W,2,0,Aston Villa,,,,,,,,12,,,,,,,,,,,,,,,,,,Match Report
2015-10-20,21:45 ,Champions Lg,Group stage,Tue,Away,D,0,0,ua Dynamo Kyiv,,,,,,,,13,,,,,,,,,,,,,,,,,,Match Report
2015-10-24,15:00 ,Premier League,Matchweek 10,Sat,Away,L,1,2,West Ham,,,,,,,,11,,,,,,,,,,,,,,,,,,Match Report
2015-10-27,19:45 ,League Cup,Fourth round,Tue,Away,L,1 (4),1 (5),Stoke City,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-10-31,12:45 ,Premier League,Matchweek 11,Sat,Home,L,1,3,Liverpool,,,,,,,,12,,,,,,,,,,,,,,,,,,Match Report
2015-11-04,19:45 ,Champions Lg,Group stage,Wed,Home,W,2,1,ua Dynamo Kyiv,,,,,,,,24,,,,,,,,,,,,,,,,,,Match Report
2015-11-07,17:30 ,Premier League,Matchweek 12,Sat,Away,L,0,1,Stoke City,,,,,,,,18,,,,,,,,,,,,,,,,,,Match Report
2015-11-21,15:00 ,Premier League,Matchweek 13,Sat,Home,W,1,0,Norwich City,,,,,,,,29,,,,,,,,,,,,,,,,,,Match Report
2015-11-24,21:45 ,Champions Lg,Group stage,Tue,Away,W,4,0,il Maccabi Tel Aviv,,,,,,,,17,,,,,,,,,,,,,,,,,,Match Report
2015-11-29,12:00 ,Premier League,Matchweek 14,Sun,Away,D,0,0,Tottenham,,,,,,,,15,,,,,,,,,,,,,,,,,,Match Report
2015-12-05,17:30 ,Premier League,Matchweek 15,Sat,Home,L,0,1,Bournemouth,,,,,,,,44,,,,,,,,,,,,,,,,,,Match Report
2015-12-09,19:45 ,Champions Lg,Group stage,Wed,Home,W,2,0,pt Porto,,,,,,,,20,,,,,,,,,,,,,,,,,,Match Report
2015-12-14,20:00 ,Premier League,Matchweek 16,Mon,Away,L,1,2,Leicester City,,,,,,,,32,,,,,,,,,,,,,,,,,,Match Report
2015-12-19,15:00 ,Premier League,Matchweek 17,Sat,Home,W,3,1,Sunderland,,,,,,,,17,,,,,,,,,,,,,,,,,,Match Report
2015-12-26,15:00 ,Premier League,Matchweek 18,Sat,Home,D,2,2,Watford,,,,,,,,27,,,,,,,,,,,,,,,,,,Match Report
