Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Match Report
2015-01-21,22:00 ,Copa del Rey,Quarter-finals,Wed,Home,W,1,0,Atlético Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-01-24,18:00 ,La Liga,Matchweek 20,Sat,Away,W,6,0,Elche,720,677,43,18,5,64,7,,3,0,1,1,588,47,85,212,459,25,15,4,646,1,5,2,10,Match Report
2015-01-28,21:00 ,Copa del Rey,Quarter-finals,Wed,Away,W,3,2,Atlético Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-02-01,21:00 ,La Liga,Matchweek 21,Sun,Home,W,3,2,Villarreal,743,687,56,22,12,75,27,,8,2,1,0,592,68,83,289,410,12,19,6,643,5,9,9,20,Match Report
2015-02-08,21:00 ,La Liga,Matchweek 22,Sun,Away,W,5,2,Athletic Club,830,788,42,14,2,67,34,,5,0,2,0,638,83,109,303,472,28,16,6,730,4,11,12,10,Match Report
2015-02-11,20:00 ,Copa del Rey,Semi-finals,Wed,Home,W,3,1,Villarreal,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-02-15,17:00 ,La Liga,Matchweek 23,Sun,Home,W,5,0,Levante,798,763,35,12,5,75,30,,3,1,1,0,621,72,105,169,571,26,16,8,714,3,6,12,9,Match Report
2015-02-21,16:00 ,La Liga,Matchweek 24,Sat,Home,L,0,1,Málaga,706,650,56,10,3,198,41,,11,4,4,0,506,72,128,256,385,18,26,5,588,7,14,19,11,Match Report
2015-02-24,19:45 ,Champions Lg,Round of 16,Tue,Away,W,2,1,eng Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-02-28,16:00 ,La Liga,Matchweek 25,Sat,Away,W,3,1,Granada,511,461,50,18,3,57,24,,5,0,4,0,312,94,105,159,297,28,17,3,416,7,3,9,16,Match Report
2015-03-04,20:00 ,Copa del Rey,Semi-finals,Wed,Away,W,3,1,Villarreal,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-03-08,12:00 ,La Liga,Matchweek 26,Sun,Home,W,6,1,Rayo Vallecano,557,503,54,11,11,133,17,,4,0,2,0,386,90,81,162,337,10,29,11,459,4,3,18,11,Match Report
2015-03-14,18:00 ,La Liga,Matchweek 27,Sat,Away,W,2,0,Eibar,760,713,47,12,3,119,21,,3,0,1,1,607,84,69,189,509,21,24,11,663,1,8,18,10,Match Report
2015-03-18,20:45 ,Champions Lg,Round of 16,Wed,Home,W,1,0,eng Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-03-22,21:00 ,La Liga,Matchweek 28,Sun,Home,W,2,1,Real Madrid,532,491,41,15,3,82,9,,7,4,2,0,393,72,67,173,324,15,12,7,455,3,3,10,7,Match Report
2015-04-05,21:00 ,La Liga,Matchweek 29,Sun,Away,W,1,0,Celta Vigo,603,542,61,30,1,198,6,,3,1,1,1,453,56,94,176,362,27,19,5,496,2,4,19,9,Match Report
2015-04-08,20:00 ,La Liga,Matchweek 30,Wed,Home,W,4,0,Almería,691,650,41,12,3,35,23,,14,4,4,0,535,65,91,155,509,7,11,8,613,3,11,13,13,Match Report
2015-04-11,20:00 ,La Liga,Matchweek 31,Sat,Away,D,2,2,Sevilla,764,708,56,23,2,78,19,,4,1,3,0,521,131,112,253,451,22,19,7,679,2,6,8,13,Match Report
2015-04-15,20:45 ,Champions Lg,Quarter-finals,Wed,Away,W,3,1,fr Paris S-G,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-04-18,16:00 ,La Liga,Matchweek 32,Sat,Home,W,2,0,Valencia,703,653,50,20,0,204,9,,6,1,0,0,563,60,80,176,476,14,16,10,616,4,6,7,10,Match Report
2015-04-21,20:45 ,Champions Lg,Quarter-finals,Tue,Home,W,2,0,fr Paris S-G,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-04-25,16:00 ,La Liga,Matchweek 33,Sat,Away,W,2,0,Espanyol,751,701,50,21,5,116,35,,3,0,1,0,562,76,113,232,461,17,19,9,657,3,6,8,11,Match Report
2015-04-28,20:00 ,La Liga,Matchweek 34,Tue,Home,W,6,0,Getafe,791,763,28,6,1,130,19,,5,0,2,0,642,76,73,273,487,7,13,5,721,1,4,13,10,Match Report
2015-05-02,16:00 ,La Liga,Matchweek 35,Sat,Away,W,8,0,Córdoba,785,742,43,11,5,73,19,,8,5,2,1,562,101,122,187,548,18,16,11,709,0,3,24,4,Match Report
2015-05-06,20:45 ,Champions Lg,Semi-finals,Wed,Home,W,3,0,de Bayern Munich,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-05-09,18:00 ,La Liga,Matchweek 36,Sat,Home,W,2,0,Real Sociedad,615,564,51,19,6,140,20,,10,3,6,0,401,99,115,124,431,21,18,12,506,5,12,13,12,Match Report
2015-05-12,20:45 ,Champions Lg,Semi-finals,Tue,Away,L,2,3,de Bayern Munich,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-05-17,19:00 ,La Liga,Matchweek 37,Sun,Away,W,1,0,Atlético Madrid,746,687,59,22,0,171,35,,5,1,1,0,514,98,134,189,496,20,25,6,661,1,7,16,5,Match Report
2015-05-23,18:30 ,La Liga,Matchweek 38,Sat,Home,D,2,2,La Coruña,945,911,34,11,2,72,25,,4,1,1,0,755,98,92,362,538,20,10,6,858,4,6,12,6,Match Report
2015-05-30,21:30 ,Copa del Rey,Final,Sat,Away,W,3,1,Athletic Club,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-06-06,20:45 ,Champions Lg,Final,Sat,Away,W,3,1,it Juventus,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
