Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Match Report
2014-08-18,20:00 ,Premier League,Matchweek 1,Mon,Away,W,3,1,Burnley,,,,,,,,15,,,,,,,,,,,,,,,,,,Match Report
2014-08-23,15:00 ,Premier League,Matchweek 2,Sat,Home,W,2,0,Leicester City,,,,,,,,22,,,,,,,,,,,,,,,,,,Match Report
2014-08-30,17:30 ,Premier League,Matchweek 3,Sat,Away,W,6,3,Everton,,,,,,,,9,,,,,,,,,,,,,,,,,,Match Report
2014-09-13,15:00 ,Premier League,Matchweek 4,Sat,Home,W,4,2,Swansea City,,,,,,,,21,,,,,,,,,,,,,,,,,,Match Report
2014-09-17,19:45 ,Champions Lg,Group stage,Wed,Home,D,1,1,de Schalke 04,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-09-21,16:00 ,Premier League,Matchweek 5,Sun,Away,D,1,1,Manchester City,,,,,,,,12,,,,,,,,,,,,,,,,,,Match Report
2014-09-24,19:45 ,League Cup,Third round,Wed,Home,W,2,1,Bolton,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-09-27,15:00 ,Premier League,Matchweek 6,Sat,Home,W,3,0,Aston Villa,,,,,,,,25,,,,,,,,,,,,,,,,,,Match Report
2014-09-30,19:45 ,Champions Lg,Group stage,Tue,Away,W,1,0,pt Sporting CP,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-10-05,14:05 ,Premier League,Matchweek 7,Sun,Home,W,2,0,Arsenal,,,,,,,,13,,,,,,,,,,,,,,,,,,Match Report
2014-10-18,15:00 ,Premier League,Matchweek 8,Sat,Away,W,2,1,Crystal Palace,,,,,,,,6,,,,,,,,,,,,,,,,,,Match Report
2014-10-21,19:45 ,Champions Lg,Group stage,Tue,Home,W,6,0,si NK Maribor,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-10-26,16:00 ,Premier League,Matchweek 9,Sun,Away,D,1,1,Manchester Utd,,,,,,,,16,,,,,,,,,,,,,,,,,,Match Report
2014-10-28,19:45 ,League Cup,Fourth round,Tue,Away,W,2,1,Shrewsbury,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-11-01,15:00 ,Premier League,Matchweek 10,Sat,Home,W,2,1,QPR,,,,,,,,27,,,,,,,,,,,,,,,,,,Match Report
2014-11-05,20:45 ,Champions Lg,Group stage,Wed,Away,D,1,1,si NK Maribor,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-11-08,12:45 ,Premier League,Matchweek 11,Sat,Away,W,2,1,Liverpool,,,,,,,,17,,,,,,,,,,,,,,,,,,Match Report
2014-11-22,15:00 ,Premier League,Matchweek 12,Sat,Home,W,2,0,West Brom,,,,,,,,31,,,,,,,,,,,,,,,,,,Match Report
2014-11-25,20:45 ,Champions Lg,Group stage,Tue,Away,W,5,0,de Schalke 04,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-11-29,17:30 ,Premier League,Matchweek 13,Sat,Away,D,0,0,Sunderland,,,,,,,,18,,,,,,,,,,,,,,,,,,Match Report
2014-12-03,19:45 ,Premier League,Matchweek 14,Wed,Home,W,3,0,Tottenham,,,,,,,,12,,,,,,,,,,,,,,,,,,Match Report
2014-12-06,12:45 ,Premier League,Matchweek 15,Sat,Away,L,1,2,Newcastle Utd,,,,,,,,31,,,,,,,,,,,,,,,,,,Match Report
2014-12-10,19:45 ,Champions Lg,Group stage,Wed,Home,W,3,1,pt Sporting CP,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-12-13,15:00 ,Premier League,Matchweek 16,Sat,Home,W,2,0,Hull City,,,,,,,,16,,,,,,,,,,,,,,,,,,Match Report
2014-12-16,19:45 ,League Cup,Quarter-finals,Tue,Away,W,3,1,Derby County,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2014-12-22,20:00 ,Premier League,Matchweek 17,Mon,Away,W,2,0,Stoke City,,,,,,,,14,,,,,,,,,,,,,,,,,,Match Report
2014-12-26,12:45 ,Premier League,Matchweek 18,Fri,Home,W,2,0,West Ham,,,,,,,,14,,,,,,,,,,,,,,,,,,Match Report
2014-12-28,14:05 ,Premier League,Matchweek 19,Sun,Away,D,1,1,Southampton,,,,,,,,39,,,,,,,,,,,,,,,,,,Match Report
2015-01-01,17:30 ,Premier League,Matchweek 20,Thu,Away,L,3,5,Tottenham,,,,,,,,13,,,,,,,,,,,,,,,,,,Match Report
2015-01-04,16:00 ,FA Cup,Third round,Sun,Home,W,3,0,Watford,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-01-10,15:00 ,Premier League,Matchweek 21,Sat,Home,W,2,0,Newcastle Utd,,,,,,,,14,,,,,,,,,,,,,,,,,,Match Report
2015-01-17,15:00 ,Premier League,Matchweek 22,Sat,Away,W,5,0,Swansea City,,,,,,,,7,,,,,,,,,,,,,,,,,,Match Report
2015-01-20,19:45 ,League Cup,Semi-finals,Tue,Away,D,1,1,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-01-24,15:00 ,FA Cup,Fourth round,Sat,Home,L,2,4,Bradford City,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-01-27,19:45 ,League Cup,Semi-finals,Tue,Home,W,1,0,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-01-31,17:30 ,Premier League,Matchweek 23,Sat,Home,D,1,1,Manchester City,,,,,,,,8,,,,,,,,,,,,,,,,,,Match Report
2015-02-07,15:00 ,Premier League,Matchweek 24,Sat,Away,W,2,1,Aston Villa,,,,,,,,15,,,,,,,,,,,,,,,,,,Match Report
2015-02-11,19:45 ,Premier League,Matchweek 25,Wed,Home,W,1,0,Everton,,,,,,,,45,,,,,,,,,,,,,,,,,,Match Report
2015-02-17,20:45 ,Champions Lg,Round of 16,Tue,Away,D,1,1,fr Paris S-G,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-02-21,15:00 ,Premier League,Matchweek 26,Sat,Home,D,1,1,Burnley,,,,,,,,20,,,,,,,,,,,,,,,,,,Match Report
2015-03-01,16:00 ,League Cup,Final,Sun,Home,W,2,0,Tottenham,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-03-04,19:45 ,Premier League,Matchweek 28,Wed,Away,W,1,0,West Ham,,,,,,,,15,,,,,,,,,,,,,,,,,,Match Report
2015-03-11,19:45 ,Champions Lg,Round of 16,Wed,Home,D,2,2,fr Paris S-G,,,,,,,,,,,,,,,,,,,,,,,,,,Match Report
2015-03-15,13:30 ,Premier League,Matchweek 29,Sun,Home,D,1,1,Southampton,,,,,,,,23,,,,,,,,,,,,,,,,,,Match Report
2015-03-22,16:00 ,Premier League,Matchweek 30,Sun,Away,W,3,2,Hull City,,,,,,,,15,,,,,,,,,,,,,,,,,,Match Report
2015-04-04,17:30 ,Premier League,Matchweek 31,Sat,Home,W,2,1,Stoke City,,,,,,,,22,,,,,,,,,,,,,,,,,,Match Report
2015-04-12,13:30 ,Premier League,Matchweek 32,Sun,Away,W,1,0,QPR,,,,,,,,22,,,,,,,,,,,,,,,,,,Match Report
2015-04-18,17:30 ,Premier League,Matchweek 33,Sat,Home,W,1,0,Manchester Utd,,,,,,,,8,,,,,,,,,,,,,,,,,,Match Report
2015-04-26,16:00 ,Premier League,Matchweek 34,Sun,Away,D,0,0,Arsenal,,,,,,,,5,,,,,,,,,,,,,,,,,,Match Report
2015-04-29,19:45 ,Premier League,Matchweek 27,Wed,Away,W,3,1,Leicester City,,,,,,,,19,,,,,,,,,,,,,,,,,,Match Report
2015-05-03,13:30 ,Premier League,Matchweek 35,Sun,Home,W,1,0,Crystal Palace,,,,,,,,11,,,,,,,,,,,,,,,,,,Match Report
2015-05-10,16:00 ,Premier League,Matchweek 36,Sun,Home,D,1,1,Liverpool,,,,,,,,15,,,,,,,,,,,,,,,,,,Match Report
2015-05-18,20:00 ,Premier League,Matchweek 37,Mon,Away,L,0,3,West Brom,,,,,,,,14,,,,,,,,,,,,,,,,,,Match Report
2015-05-24,15:00 ,Premier League,Matchweek 38,Sun,Home,W,3,1,Sunderland,,,,,,,,33,,,,,,,,,,,,,,,,,,Match Report
