Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Match Report
2019-08-11,16:30 ,Premier League,Matchweek 1,Sun,Away,L,0,4,Manchester Utd,564,512,52,17,2,131,14,11,5,1,1,3,428,63,73,111,409,15,23,6,470,0,11,8,12,Match Report
2019-08-14,22:00 ,Super Cup,UEFA Super Cup,Wed,Away,L,2 (4),2 (5),eng Liverpool,,,,,,,,13,,,,,,,,,,,,,,,,,,Match Report
2019-08-18,16:30 ,Premier League,Matchweek 2,Sun,Home,D,1,1,Leicester City,476,421,55,15,0,122,16,11,4,2,1,1,297,83,96,117,300,14,25,9,374,3,7,10,16,Match Report
2019-08-24,12:30 ,Premier League,Matchweek 3,Sat,Away,W,3,2,Norwich City,579,529,50,9,0,158,16,14,8,5,1,0,405,89,85,140,385,14,27,6,487,0,7,7,13,Match Report
2019-08-31,15:00 ,Premier League,Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,756,712,44,10,2,85,28,9,3,1,2,0,558,79,119,172,517,30,20,5,651,2,9,13,8,Match Report
2019-09-14,15:00 ,Premier League,Matchweek 5,Sat,Away,W,5,2,Wolves,584,534,50,9,1,130,12,11,5,4,0,0,399,82,103,100,438,7,26,8,502,1,12,2,9,Match Report
2019-09-17,20:00 ,Champions Lg,Group stage,Tue,Home,L,0,1,es Valencia,632,589,43,8,0,111,18,17,10,3,7,0,494,60,78,107,491,11,14,4,556,0,8,1,14,Match Report
2019-09-22,16:30 ,Premier League,Matchweek 6,Sun,Home,L,1,2,Liverpool,546,486,60,14,1,66,30,25,6,4,1,0,310,91,145,105,365,22,32,7,421,7,9,6,11,Match Report
2019-09-25,19:45 ,EFL Cup,Third round,Wed,Home,W,7,1,Grimsby Town,,,,,,,,17,,,,,,,,,,,,,,,,,,Match Report
2019-09-28,15:00 ,Premier League,Matchweek 7,Sat,Home,W,2,0,Brighton,601,553,48,14,4,197,18,14,5,1,1,1,427,79,95,134,414,21,19,4,508,1,4,8,9,Match Report
2019-10-02,21:00 ,Champions Lg,Group stage,Wed,Away,W,2,1,fr Lille,658,610,48,10,0,127,25,19,4,2,2,0,481,80,97,124,463,23,27,10,562,0,11,11,14,Match Report
2019-10-06,14:00 ,Premier League,Matchweek 8,Sun,Away,W,4,1,Southampton,549,494,55,9,4,136,13,9,4,0,0,1,338,84,127,99,368,31,33,3,422,0,6,6,16,Match Report
2019-10-19,15:00 ,Premier League,Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,672,614,58,12,1,149,26,12,11,5,5,0,496,78,98,132,481,19,29,7,574,1,6,13,9,Match Report
