Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
2019-08-16,21:00 ,La Liga,Matchweek 1,Fri,Away,L,0,1,Athletic Club,1,0,0,9,14,1,9,3,3,0,0,0,84,15,13,53.6,Match Report
2019-08-25,21:00 ,La Liga,Matchweek 2,Sun,Home,W,5,2,Betis,1,0,0,14,12,4,22,10,19,0,0,0,89,6,4,60.0,Match Report
2019-08-31,17:00 ,La Liga,Matchweek 3,Sat,Away,D,2,2,Osasuna,4,0,0,9,15,1,10,3,13,0,1,0,104,16,15,51.6,Match Report
2019-09-14,21:00 ,La Liga,Matchweek 4,Sat,Home,W,5,2,Valencia,1,0,0,11,10,0,15,5,10,0,0,0,78,4,3,57.1,Match Report
2019-09-17,21:00 ,Champions Lg,Group stage,Tue,Away,D,0,0,de Dortmund,3,0,0,10,10,0,11,20,14,0,1,0,77,4,13,23.5,Match Report
2019-09-21,21:00 ,La Liga,Matchweek 5,Sat,Away,L,0,2,Granada,2,0,0,12,22,1,14,3,10,0,1,0,57,11,8,57.9,Match Report
2019-09-24,21:00 ,La Liga,Matchweek 6,Tue,Home,W,2,1,Villarreal,4,0,0,4,13,4,11,5,12,0,0,0,68,7,6,53.8,Match Report
2019-09-28,16:00 ,La Liga,Matchweek 7,Sat,Away,W,2,0,Getafe,4,1,1,17,21,3,5,7,10,0,0,0,83,12,12,50.0,Match Report
2019-10-02,21:00 ,Champions Lg,Group stage,Wed,Home,W,2,1,it Inter,4,0,0,17,18,2,7,3,11,0,0,0,88,4,5,44.4,Match Report
2019-10-06,21:00 ,La Liga,Matchweek 8,Sun,Home,W,4,0,Sevilla,5,2,0,10,9,3,6,13,11,0,0,0,62,5,9,35.7,Match Report
2019-10-19,13:00 ,La Liga,Matchweek 9,Sat,Away,W,3,0,Eibar,0,0,0,14,15,7,6,6,11,0,0,0,77,14,10,58.3,Match Report
2019-10-23,21:00 ,Champions Lg,Group stage,Wed,Away,W,2,1,cz Slavia Prague,2,0,0,9,16,0,8,16,15,0,0,0,93,12,9,57.1,Match Report
