Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,PK,PKatt,Match Report
2015-08-02,15:00 ,Community Shield,FA Community Shield,Sun,Neutral,L,0,1,Arsenal,0,,,,,,,0,0,Match Report
2015-08-08,17:30 ,Premier League,Matchweek 1,Sat,Home,D,2,2,Swansea City,1,11,3,27.3,0.09,0.33,,0,0,Match Report
2015-08-16,16:00 ,Premier League,Matchweek 2,Sun,Away,L,0,3,Manchester City,0,10,3,30.0,0.00,0.00,,0,0,Match Report
2015-08-23,13:30 ,Premier League,Matchweek 3,Sun,Away,W,3,2,West Brom,3,15,5,33.3,0.20,0.60,,0,0,Match Report
2015-08-29,15:00 ,Premier League,Matchweek 4,Sat,Home,L,1,2,Crystal Palace,1,26,9,34.6,0.04,0.11,,0,0,Match Report
2015-09-12,12:45 ,Premier League,Matchweek 5,Sat,Away,L,1,3,Everton,1,15,2,13.3,0.07,0.50,,0,0,Match Report
2015-09-16,19:45 ,Champions Lg,Group stage,Wed,Home,W,4,0,il Maccabi Tel Aviv,4,15,5,33.3,0.20,0.60,,1,2,Match Report
2015-09-19,12:45 ,Premier League,Matchweek 6,Sat,Home,W,2,0,Arsenal,1,22,6,27.3,0.05,0.17,,0,0,Match Report
2015-09-23,19:45 ,League Cup,Third round,Wed,Away,W,4,1,Walsall,4,,,,,,,0,0,Match Report
2015-09-26,17:30 ,Premier League,Matchweek 7,Sat,Away,D,2,2,Newcastle Utd,2,16,4,25.0,0.13,0.50,,0,0,Match Report
2015-09-29,19:45 ,Champions Lg,Group stage,Tue,Away,L,1,2,pt Porto,1,12,3,25.0,0.08,0.33,,0,0,Match Report
2015-10-03,17:30 ,Premier League,Matchweek 8,Sat,Home,L,1,3,Southampton,1,10,3,30.0,0.10,0.33,,0,0,Match Report
2015-10-17,15:00 ,Premier League,Matchweek 9,Sat,Home,W,2,0,Aston Villa,1,9,3,33.3,0.11,0.33,,0,0,Match Report
2015-10-20,21:45 ,Champions Lg,Group stage,Tue,Away,D,0,0,ua Dynamo Kyiv,0,12,5,41.7,0.00,0.00,,0,0,Match Report
2015-10-24,15:00 ,Premier League,Matchweek 10,Sat,Away,L,1,2,West Ham,1,9,4,44.4,0.11,0.25,,0,0,Match Report
2015-10-27,19:45 ,League Cup,Fourth round,Tue,Away,L,1 (4),1 (5),Stoke City,1,,,,,,,0,0,Match Report
2015-10-31,12:45 ,Premier League,Matchweek 11,Sat,Home,L,1,3,Liverpool,1,8,2,25.0,0.13,0.50,,0,0,Match Report
2015-11-04,19:45 ,Champions Lg,Group stage,Wed,Home,W,2,1,ua Dynamo Kyiv,1,14,5,35.7,0.07,0.20,,0,0,Match Report
2015-11-07,17:30 ,Premier League,Matchweek 12,Sat,Away,L,0,1,Stoke City,0,19,4,21.1,0.00,0.00,,0,0,Match Report
2015-11-21,15:00 ,Premier League,Matchweek 13,Sat,Home,W,1,0,Norwich City,1,21,7,33.3,0.05,0.14,,0,0,Match Report
2015-11-24,21:45 ,Champions Lg,Group stage,Tue,Away,W,4,0,il Maccabi Tel Aviv,4,21,10,47.6,0.19,0.40,,0,0,Match Report
2015-11-29,12:00 ,Premier League,Matchweek 14,Sun,Away,D,0,0,Tottenham,0,5,1,20.0,0.00,0.00,,0,0,Match Report
2015-12-05,17:30 ,Premier League,Matchweek 15,Sat,Home,L,0,1,Bournemouth,0,19,6,31.6,0.00,0.00,,0,0,Match Report
2015-12-09,19:45 ,Champions Lg,Group stage,Wed,Home,W,2,0,pt Porto,1,11,6,54.5,0.09,0.17,,0,0,Match Report
2015-12-14,20:00 ,Premier League,Matchweek 16,Mon,Away,L,1,2,Leicester City,1,11,4,36.4,0.09,0.25,,0,0,Match Report
2015-12-19,15:00 ,Premier League,Matchweek 17,Sat,Home,W,3,1,Sunderland,3,17,7,41.2,0.12,0.29,,1,1,Match Report
2015-12-26,15:00 ,Premier League,Matchweek 18,Sat,Home,D,2,2,Watford,2,17,2,11.8,0.12,1.00,,0,1,Match Report
2015-12-28,17:30 ,Premier League,Matchweek 19,Mon,Away,D,0,0,Manchester Utd,0,8,3,37.5,0.00,0.00,,0,0,Match Report
2016-01-03,13:30 ,Premier League,Matchweek 20,Sun,Away,W,3,0,Crystal Palace,3,10,4,40.0,0.30,0.75,,0,0,Match Report
2016-01-10,14:00 ,FA Cup,Third round,Sun,Home,W,2,0,Scunthorpe Utd,2,,,,,,,0,0,Match Report
2016-01-13,19:45 ,Premier League,Matchweek 21,Wed,Home,D,2,2,West Brom,1,14,2,14.3,0.07,0.50,,0,0,Match Report
2016-01-16,15:00 ,Premier League,Matchweek 22,Sat,Home,D,3,3,Everton,3,14,7,50.0,0.21,0.43,,0,0,Match Report
2016-01-24,16:00 ,Premier League,Matchweek 23,Sun,Away,W,1,0,Arsenal,1,12,6,50.0,0.08,0.17,,0,0,Match Report
2016-01-31,16:00 ,FA Cup,Fourth round,Sun,Away,W,5,1,MK Dons,5,,,,,,,1,1,Match Report
2016-02-03,19:45 ,Premier League,Matchweek 24,Wed,Away,D,0,0,Watford,0,12,4,33.3,0.00,0.00,,0,0,Match Report
2016-02-07,16:00 ,Premier League,Matchweek 25,Sun,Home,D,1,1,Manchester Utd,1,16,5,31.3,0.06,0.20,,0,0,Match Report
2016-02-13,17:30 ,Premier League,Matchweek 26,Sat,Home,W,5,1,Newcastle Utd,5,14,7,50.0,0.36,0.71,,0,0,Match Report
2016-02-16,20:45 ,Champions Lg,Round of 16,Tue,Away,L,1,2,fr Paris S-G,1,10,5,50.0,0.10,0.20,,0,0,Match Report
2016-02-21,16:00 ,FA Cup,Fifth round,Sun,Home,W,5,1,Manchester City,5,,,,,,,0,1,Match Report
2016-02-27,15:00 ,Premier League,Matchweek 27,Sat,Away,W,2,1,Southampton,2,16,4,25.0,0.13,0.50,,0,0,Match Report
2016-03-01,19:45 ,Premier League,Matchweek 28,Tue,Away,W,2,1,Norwich City,2,10,2,20.0,0.20,1.00,,0,0,Match Report
2016-03-05,15:00 ,Premier League,Matchweek 29,Sat,Home,D,1,1,Stoke City,1,20,7,35.0,0.05,0.14,,0,0,Match Report
2016-03-09,19:45 ,Champions Lg,Round of 16,Wed,Home,L,1,2,fr Paris S-G,1,15,7,46.7,0.07,0.14,,0,0,Match Report
2016-03-12,17:30 ,FA Cup,Quarter-finals,Sat,Away,L,0,2,Everton,0,,,,,,,0,0,Match Report
2016-03-19,15:00 ,Premier League,Matchweek 31,Sat,Home,D,2,2,West Ham,2,22,5,22.7,0.05,0.20,,1,1,Match Report
2016-04-02,12:45 ,Premier League,Matchweek 32,Sat,Away,W,4,0,Aston Villa,4,11,8,72.7,0.27,0.38,,1,1,Match Report
2016-04-09,15:00 ,Premier League,Matchweek 33,Sat,Away,L,0,1,Swansea City,0,8,2,25.0,0.00,0.00,,0,0,Match Report
2016-04-16,17:30 ,Premier League,Matchweek 34,Sat,Home,L,0,3,Manchester City,0,11,4,36.4,0.00,0.00,,0,0,Match Report
2016-04-23,15:00 ,Premier League,Matchweek 35,Sat,Away,W,4,1,Bournemouth,4,16,4,25.0,0.25,1.00,,0,0,Match Report
2016-05-02,20:00 ,Premier League,Matchweek 36,Mon,Home,D,2,2,Tottenham,2,13,5,38.5,0.15,0.40,,0,0,Match Report
2016-05-07,15:00 ,Premier League,Matchweek 37,Sat,Away,L,2,3,Sunderland,2,9,8,88.9,0.22,0.25,,0,0,Match Report
2016-05-11,20:00 ,Premier League,Matchweek 30,Wed,Away,D,1,1,Liverpool,1,13,7,53.8,0.08,0.14,,0,0,Match Report
2016-05-15,15:00 ,Premier League,Matchweek 38,Sun,Home,D,1,1,Leicester City,1,17,4,23.5,0.00,0.00,,1,1,Match Report
