Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Match Report
2017-08-13,22:00 ,Supercopa de España,Supercopa de España,Sun,Neutral,L,1,3,Real Madrid,,,,,,,,,,,,,,,,,,,,,Match Report
2017-08-16,23:00 ,Supercopa de España,Supercopa de España,Wed,Away,L,0,2,Real Madrid,,,,,,,,,,,,,,,,,,,,,Match Report
2017-08-20,20:15 ,La Liga,Matchweek 1,Sun,Home,W,2,0,Betis,782,41,142,439,256,42,742,19,26,73.1,19,1,574,3074,1580,655,600,91.6,13,12,Match Report
2017-08-26,18:15 ,La Liga,Matchweek 2,Sat,Away,W,2,0,Alavés,851,49,136,398,380,36,820,19,23,82.6,20,0,691,3329,1875,717,660,92.1,9,18,Match Report
2017-09-09,20:45 ,La Liga,Matchweek 3,Sat,Home,W,5,0,Espanyol,888,80,283,451,210,42,834,20,30,66.7,21,6,624,3472,1781,740,681,92.0,16,11,Match Report
2017-09-12,20:45 ,Champions Lg,Group stage,Tue,Home,W,3,0,it Juventus,,,,,,,,,,,,,,,,,,,,,Match Report
2017-09-16,16:15 ,La Liga,Matchweek 4,Sat,Away,W,2,1,Getafe,808,42,169,451,240,33,775,16,30,53.3,17,2,628,3488,1968,655,608,92.8,23,13,Match Report
2017-09-19,22:00 ,La Liga,Matchweek 5,Tue,Home,W,6,1,Eibar,720,99,310,336,133,37,689,17,25,68.0,17,0,561,3617,2220,576,516,89.6,10,14,Match Report
2017-09-23,20:45 ,La Liga,Matchweek 6,Sat,Away,W,3,0,Girona,659,64,204,372,121,23,625,6,10,60.0,6,0,507,2585,1519,548,463,84.5,15,6,Match Report
2017-09-27,19:45 ,Champions Lg,Group stage,Wed,Away,W,1,0,pt Sporting CP,,,,,,,,,,,,,,,,,,,,,Match Report
2017-10-01,16:15 ,La Liga,Matchweek 7,Sun,Home,W,3,0,Las Palmas,613,37,128,317,219,51,592,17,23,73.9,19,1,499,3115,1777,505,446,88.3,5,10,Match Report
2017-10-14,20:45 ,La Liga,Matchweek 8,Sat,Away,D,1,1,Atlético Madrid,855,38,167,333,437,41,830,20,34,58.8,27,0,696,3781,2334,706,645,91.4,16,9,Match Report
2017-10-18,20:45 ,Champions Lg,Group stage,Wed,Home,W,3,1,gr Olympiacos,,,,,,,,,,,,,,,,,,,,,Match Report
2017-10-21,20:45 ,La Liga,Matchweek 9,Sat,Home,W,2,0,Málaga,815,58,180,473,235,28,795,18,29,62.1,23,1,671,4292,2347,710,635,89.4,10,6,Match Report
2017-10-24,21:30 ,Copa del Rey,Round of 32,Tue,Away,W,3,0,Real Murcia,,,,,,,,,,,,,,,,,,,,,Match Report
2017-10-28,20:45 ,La Liga,Matchweek 10,Sat,Away,W,2,0,Athletic Club,678,72,252,287,186,25,643,27,33,81.8,28,1,505,2768,1653,559,454,81.2,6,12,Match Report
2017-10-31,21:45 ,Champions Lg,Group stage,Tue,Away,D,0,0,gr Olympiacos,,,,,,,,,,,,,,,,,,,,,Match Report
