Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Match Report
2014-08-24,21:00 ,La Liga,Matchweek 1,Sun,Home,W,3,0,Elche,935,30,147,629,222,26,891,18,31,58.1,19,1,788,3706,2002,815,761,93.4,11,16,Match Report
2014-08-31,19:00 ,La Liga,Matchweek 2,Sun,Away,W,1,0,Villarreal,895,35,152,416,386,39,845,15,18,83.3,15,0,704,3333,2011,742,676,91.1,11,20,Match Report
2014-09-13,16:00 ,La Liga,Matchweek 3,Sat,Home,W,2,0,Athletic Club,824,50,207,466,211,42,783,24,42,57.1,28,0,659,3358,1982,658,598,90.9,7,8,Match Report
2014-09-17,20:45 ,Champions Lg,Group stage,Wed,Home,W,1,0,cy APOEL FC,,,,,,,,,,,,,,,,,,,,,Match Report
2014-09-21,21:00 ,La Liga,Matchweek 4,Sun,Away,W,5,0,Levante,944,37,148,531,328,40,909,19,28,67.9,20,1,669,3255,1956,832,768,92.3,9,10,Match Report
2014-09-24,22:00 ,La Liga,Matchweek 5,Wed,Away,D,0,0,Málaga,760,41,197,378,244,28,707,25,48,52.1,27,0,570,3377,1958,581,535,92.1,8,3,Match Report
2014-09-27,18:00 ,La Liga,Matchweek 6,Sat,Home,W,6,0,Granada,837,30,134,391,372,44,786,16,28,57.1,16,0,662,3710,1992,700,634,90.6,8,8,Match Report
2014-09-30,20:45 ,Champions Lg,Group stage,Tue,Away,L,2,3,fr Paris S-G,,,,,,,,,,,,,,,,,,,,,Match Report
2014-10-04,18:00 ,La Liga,Matchweek 7,Sat,Away,W,2,0,Rayo Vallecano,658,65,183,336,185,30,601,4,10,40.0,5,0,448,2445,1244,511,430,84.1,13,9,Match Report
2014-10-18,20:00 ,La Liga,Matchweek 8,Sat,Home,W,3,0,Eibar,801,33,137,358,369,55,758,21,34,61.8,23,0,650,3755,2053,698,628,90.0,9,13,Match Report
2014-10-21,20:45 ,Champions Lg,Group stage,Tue,Home,W,3,1,nl Ajax,,,,,,,,,,,,,,,,,,,,,Match Report
2014-10-25,18:00 ,La Liga,Matchweek 9,Sat,Away,L,1,3,Real Madrid,745,59,161,370,274,28,704,17,20,85.0,18,0,491,3100,1921,610,550,90.2,15,16,Match Report
2014-11-01,20:00 ,La Liga,Matchweek 10,Sat,Home,L,0,1,Celta Vigo,778,51,175,401,265,49,711,25,39,64.1,27,3,555,3220,1903,600,500,83.3,26,10,Match Report
2014-11-05,20:45 ,Champions Lg,Group stage,Wed,Away,W,2,0,nl Ajax,,,,,,,,,,,,,,,,,,,,,Match Report
2014-11-08,16:00 ,La Liga,Matchweek 11,Sat,Away,W,2,1,Almería,747,56,171,390,225,38,706,12,21,57.1,14,0,515,3010,1840,608,534,87.8,14,7,Match Report
2014-11-22,20:00 ,La Liga,Matchweek 12,Sat,Home,W,5,1,Sevilla,883,50,146,496,296,36,829,24,43,55.8,24,1,678,3442,2027,754,684,90.7,13,9,Match Report
2014-11-25,21:45 ,Champions Lg,Group stage,Tue,Away,W,4,0,cy APOEL FC,,,,,,,,,,,,,,,,,,,,,Match Report
2014-11-30,21:00 ,La Liga,Matchweek 13,Sun,Away,W,1,0,Valencia,862,53,186,447,297,31,817,11,21,52.4,12,0,689,3630,2311,725,651,89.8,10,11,Match Report
