Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
2019-01-30,19:45 ,Premier League,Matchweek 24,Wed,Away,L,0,4,Bournemouth,0,0,0,6,8,6,23,6,10,0,0,0,98,8,10,44.4,Match Report
2019-02-02,15:00 ,Premier League,Matchweek 25,Sat,Home,W,5,0,Huddersfield,0,0,0,8,5,2,12,8,23,1,0,0,93,7,5,58.3,Match Report
2019-02-10,16:00 ,Premier League,Matchweek 26,Sun,Away,L,0,6,Manchester City,2,0,0,13,9,1,7,5,19,0,1,0,59,3,5,37.5,Match Report
2019-02-14,21:00 ,Europa Lg,Round of 32,Thu,Away,W,2,1,se Malmö,0,0,0,10,20,4,18,3,5,0,0,0,67,11,5,68.8,Match Report
2019-02-18,19:30 ,FA Cup,Fifth round,Mon,Home,L,0,2,Manchester Utd,2,0,0,11,16,2,24,12,15,0,0,0,,,,,Match Report
2019-02-21,20:00 ,Europa Lg,Round of 32,Thu,Home,W,3,0,se Malmö,1,0,0,14,12,3,9,3,9,0,0,0,87,16,12,57.1,Match Report
2019-02-24,16:30 ,EFL Cup,Final,Sun,Home,D,0 (3),0 (4),Manchester City,3,0,0,7,21,2,12,8,14,0,0,0,,,,,Match Report
2019-02-27,20:00 ,Premier League,Matchweek 28,Wed,Home,W,2,0,Tottenham,1,0,0,7,13,1,9,13,20,0,0,0,101,10,10,50.0,Match Report
2019-03-03,14:05 ,Premier League,Matchweek 29,Sun,Away,W,2,1,Fulham,1,0,0,10,11,0,9,4,13,0,0,0,80,9,3,75.0,Match Report
2019-03-07,20:00 ,Europa Lg,Round of 16,Thu,Home,W,3,0,ua Dynamo Kyiv,0,0,0,14,15,3,6,9,7,0,0,0,76,7,6,53.8,Match Report
2019-03-10,14:05 ,Premier League,Matchweek 30,Sun,Home,D,1,1,Wolves,1,0,0,8,13,1,21,5,10,0,0,0,107,5,17,22.7,Match Report
2019-03-14,19:55 ,Europa Lg,Round of 16,Thu,Away,W,5,0,ua Dynamo Kyiv,1,0,0,8,13,1,12,6,10,0,0,0,80,10,3,76.9,Match Report
2019-03-17,16:30 ,Premier League,Matchweek 31,Sun,Away,L,0,2,Everton,2,0,0,9,17,3,11,9,11,0,1,0,100,15,10,60.0,Match Report
2019-03-31,14:05 ,Premier League,Matchweek 32,Sun,Away,W,2,1,Cardiff City,3,0,0,14,8,1,7,7,8,0,0,0,115,19,16,54.3,Match Report
2019-04-03,19:45 ,Premier League,Matchweek 27,Wed,Home,W,3,0,Brighton,0,0,0,5,9,0,13,7,14,0,0,0,86,16,13,55.2,Match Report
2019-04-08,20:00 ,Premier League,Matchweek 33,Mon,Home,W,2,0,West Ham,2,0,0,8,7,3,10,10,11,0,0,0,81,10,8,55.6,Match Report
2019-04-11,21:00 ,Europa Lg,Quarter-finals,Thu,Away,W,1,0,cz Slavia Prague,0,0,0,9,15,2,10,8,14,0,0,0,93,10,11,47.6,Match Report
2019-04-14,16:30 ,Premier League,Matchweek 34,Sun,Away,L,0,2,Liverpool,1,0,0,9,5,2,10,6,15,0,0,0,86,6,8,42.9,Match Report
2019-04-18,20:00 ,Europa Lg,Quarter-finals,Thu,Home,W,4,3,cz Slavia Prague,4,0,0,9,18,2,7,9,10,0,0,0,86,9,11,45.0,Match Report
2019-04-22,20:00 ,Premier League,Matchweek 35,Mon,Home,D,2,2,Burnley,2,0,0,9,4,1,29,3,12,0,0,0,113,18,16,52.9,Match Report
2019-04-28,16:30 ,Premier League,Matchweek 36,Sun,Away,D,1,1,Manchester Utd,2,0,0,14,9,5,15,11,15,0,0,0,81,9,12,42.9,Match Report
2019-05-02,21:00 ,Europa Lg,Semi-finals,Thu,Away,D,1,1,de Eint Frankfurt,1,0,0,9,14,1,12,2,8,0,0,0,108,12,10,54.5,Match Report
2019-05-05,14:00 ,Premier League,Matchweek 37,Sun,Home,W,3,0,Watford,0,0,0,6,12,1,12,9,14,0,0,0,94,17,12,58.6,Match Report
2019-05-09,20:00 ,Europa Lg,Semi-finals,Thu,Home,W,1 (4),1 (3),de Eint Frankfurt,3,0,0,19,25,1,20,12,13,0,0,0,136,27,26,50.9,Match Report
2019-05-12,15:00 ,Premier League,Matchweek 38,Sun,Away,D,0,0,Leicester City,1,0,0,8,9,2,11,6,14,0,0,0,78,5,4,55.6,Match Report
2019-05-29,23:00 ,Europa Lg,Final,Wed,Home,W,4,1,eng Arsenal,2,0,0,14,11,1,3,8,8,1,0,0,63,11,15,42.3,Match Report
