Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Match Report
2018-08-12,21:00 ,Supercopa de España,Supercopa de España,Sun,Neutral,W,2,1,Sevilla,,,,,,,,,,,,,,,,,,,,,Match Report
2018-08-18,22:15 ,La Liga,Matchweek 1,Sat,Home,W,3,0,Alavés,968,35,145,476,400,59,941,13,21,61.9,14,0,778,4129,2196,878,792,90.2,9,9,Match Report
2018-08-25,22:15 ,La Liga,Matchweek 2,Sat,Away,W,1,0,Valladolid,714,52,189,354,225,36,678,13,19,68.4,14,1,535,2929,1823,594,511,86.0,14,15,Match Report
2018-09-02,18:30 ,La Liga,Matchweek 3,Sun,Home,W,8,2,Huesca,810,40,140,400,325,47,773,10,17,58.8,10,0,658,2975,1769,669,642,96.0,6,10,Match Report
2018-09-15,16:15 ,La Liga,Matchweek 4,Sat,Away,W,2,1,Real Sociedad,896,40,171,549,233,31,854,20,33,60.6,20,0,706,3327,1653,777,697,89.7,10,11,Match Report
2018-09-18,18:55 ,Champions Lg,Group stage,Tue,Home,W,4,0,nl PSV Eindhoven,921,71,186,478,311,31,875,5,11,45.5,5,0,744,3512,1941,782,741,94.8,7,9,Match Report
2018-09-23,20:45 ,La Liga,Matchweek 5,Sun,Home,D,2,2,Girona,878,34,135,527,274,34,838,14,25,56.0,16,1,670,3493,2065,762,701,92.0,16,9,Match Report
2018-09-26,20:00 ,La Liga,Matchweek 6,Wed,Away,L,1,2,Leganés,945,58,197,527,274,23,894,18,27,66.7,18,1,768,3291,1730,814,758,93.1,12,8,Match Report
2018-09-29,16:15 ,La Liga,Matchweek 7,Sat,Home,D,1,1,Athletic Club,837,52,202,448,249,36,779,24,33,72.7,25,3,636,3416,1945,666,603,90.5,19,15,Match Report
2018-10-03,20:00 ,Champions Lg,Group stage,Wed,Away,W,4,2,eng Tottenham,816,65,248,471,148,22,759,16,26,61.5,16,1,618,2785,1321,698,625,89.5,3,15,Match Report
2018-10-07,20:45 ,La Liga,Matchweek 8,Sun,Away,D,1,1,Valencia,1122,50,188,541,461,36,1088,24,29,82.8,24,1,910,3952,2129,1023,937,91.6,14,7,Match Report
2018-10-20,20:45 ,La Liga,Matchweek 9,Sat,Home,W,4,2,Sevilla,653,87,248,315,136,25,595,13,19,68.4,13,0,448,2698,1632,502,448,89.2,11,18,Match Report
2018-10-24,21:00 ,Champions Lg,Group stage,Wed,Home,W,2,0,it Inter,911,53,198,482,292,27,870,15,18,83.3,15,1,752,3249,1692,779,716,91.9,10,18,Match Report
2018-10-28,16:15 ,La Liga,Matchweek 10,Sun,Home,W,5,1,Real Madrid,691,67,186,376,163,33,648,15,26,57.7,18,3,522,2317,1349,564,508,90.1,10,8,Match Report
