Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Match Report
2017-08-06,14:00 ,Community Shield,FA Community Shield,Sun,Neutral,L,1 (1),1 (4),Arsenal,,,,,,,,12,,,,,,,,,,,,,,,,,,Match Report
2017-08-12,15:00 ,Premier League,Matchweek 1,Sat,Home,L,2,3,Burnley,561,529,32,9,0,88,19,18,6,0,0,0,424,23,114,103,404,30,12,5,455,2,8,10,15,Match Report
2017-08-20,16:00 ,Premier League,Matchweek 2,Sun,Away,W,2,1,Tottenham,309,274,35,13,2,55,13,10,3,1,2,0,147,50,112,77,180,14,8,7,210,0,7,0,9,Match Report
2017-08-27,13:30 ,Premier League,Matchweek 3,Sun,Home,W,2,0,Everton,630,583,47,8,0,106,12,13,6,2,1,0,393,134,103,129,445,15,26,7,528,0,6,8,8,Match Report
2017-09-09,15:00 ,Premier League,Matchweek 4,Sat,Away,W,2,1,Leicester City,520,494,26,6,0,34,24,15,8,0,0,0,386,29,105,126,361,18,7,6,420,2,6,9,22,Match Report
2017-09-12,19:45 ,Champions Lg,Group stage,Tue,Home,W,6,0,az Qarabağ FK,,,,,,,,12,,,,,,,,,,,,,,,,,,Match Report
2017-09-17,13:30 ,Premier League,Matchweek 5,Sun,Home,D,0,0,Arsenal,540,510,30,7,0,61,16,14,4,0,0,0,322,82,136,115,359,38,14,5,410,4,10,18,15,Match Report
2017-09-20,19:45 ,EFL Cup,Third round,Wed,Home,W,5,1,Nott'ham Forest,,,,,,,,13,,,,,,,,,,,,,,,,,,Match Report
2017-09-23,15:00 ,Premier League,Matchweek 6,Sat,Away,W,4,0,Stoke City,544,526,18,1,0,35,4,4,0,0,0,0,424,23,97,102,386,22,13,12,449,0,14,12,8,Match Report
2017-09-27,20:45 ,Champions Lg,Group stage,Wed,Away,W,2,1,es Atlético Madrid,,,,,,,,13,,,,,,,,,,,,,,,,,,Match Report
