Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2017-08-13,22:00 ,Supercopa de España,Supercopa de España,Sun,Neutral,L,1,3,Real Madrid,1,,,,,,,,1,1,,,,,,Match Report
2017-08-16,23:00 ,Supercopa de España,Supercopa de España,Wed,Away,L,0,2,Real Madrid,0,,,,,,,,0,0,,,,,,Match Report
2017-08-20,20:15 ,La Liga,Matchweek 1,Sun,Home,W,2,0,Betis,1,15,2,13.3,0.07,0.50,18.1,3,0,0,1.7,1.7,0.12,-0.7,-0.7,Match Report
2017-08-26,18:15 ,La Liga,Matchweek 2,Sat,Away,W,2,0,Alavés,2,22,10,45.5,0.09,0.20,16.9,1,0,1,2.5,1.7,0.08,-0.5,+0.3,Match Report
2017-09-09,20:45 ,La Liga,Matchweek 3,Sat,Home,W,5,0,Espanyol,5,20,9,45.0,0.25,0.56,12.8,3,0,0,3.5,3.5,0.18,+1.5,+1.5,Match Report
2017-09-12,20:45 ,Champions Lg,Group stage,Tue,Home,W,3,0,it Juventus,3,9,5,55.6,0.33,0.60,,,0,0,,,,,,Match Report
2017-09-16,16:15 ,La Liga,Matchweek 4,Sat,Away,W,2,1,Getafe,2,7,5,71.4,0.29,0.40,18.9,1,0,0,0.6,0.6,0.09,+1.4,+1.4,Match Report
2017-09-19,22:00 ,La Liga,Matchweek 5,Tue,Home,W,6,1,Eibar,6,10,9,90.0,0.50,0.56,14.7,1,1,1,2.4,1.6,0.18,+3.6,+3.4,Match Report
2017-09-23,20:45 ,La Liga,Matchweek 6,Sat,Away,W,3,0,Girona,1,10,6,60.0,0.10,0.17,18.3,2,0,0,1.1,1.1,0.11,-0.1,-0.1,Match Report
2017-09-27,19:45 ,Champions Lg,Group stage,Wed,Away,W,1,0,pt Sporting CP,0,10,5,50.0,0.00,0.00,,,0,0,,,,,,Match Report
2017-10-01,16:15 ,La Liga,Matchweek 7,Sun,Home,W,3,0,Las Palmas,3,22,10,45.5,0.14,0.30,15.7,3,0,0,2.7,2.7,0.13,+0.3,+0.3,Match Report
2017-10-14,20:45 ,La Liga,Matchweek 8,Sat,Away,D,1,1,Atlético Madrid,1,16,7,43.8,0.06,0.14,17.5,2,0,0,1.2,1.2,0.07,-0.2,-0.2,Match Report
2017-10-18,20:45 ,Champions Lg,Group stage,Wed,Home,W,3,1,gr Olympiacos,2,25,11,44.0,0.08,0.18,,,0,0,,,,,,Match Report
2017-10-21,20:45 ,La Liga,Matchweek 9,Sat,Home,W,2,0,Málaga,2,12,4,33.3,0.17,0.50,15.5,1,0,0,1.6,1.6,0.14,+0.4,+0.4,Match Report
2017-10-24,21:30 ,Copa del Rey,Round of 32,Tue,Away,W,3,0,Real Murcia,3,,,,,,,,0,0,,,,,,Match Report
2017-10-28,20:45 ,La Liga,Matchweek 10,Sat,Away,W,2,0,Athletic Club,2,17,5,29.4,0.12,0.40,16.3,2,0,0,2.3,2.3,0.15,-0.3,-0.3,Match Report
2017-10-31,21:45 ,Champions Lg,Group stage,Tue,Away,D,0,0,gr Olympiacos,0,19,6,31.6,0.00,0.00,,,0,0,,,,,,Match Report
2017-11-04,20:45 ,La Liga,Matchweek 11,Sat,Home,W,2,1,Sevilla,2,18,5,27.8,0.11,0.40,17.5,1,0,0,1.8,1.8,0.10,+0.2,+0.2,Match Report
2017-11-18,16:15 ,La Liga,Matchweek 12,Sat,Away,W,3,0,Leganés,3,11,6,54.5,0.27,0.50,11.0,0,0,0,1.9,1.9,0.18,+1.1,+1.1,Match Report
2017-11-22,20:45 ,Champions Lg,Group stage,Wed,Away,D,0,0,it Juventus,0,9,1,11.1,0.00,0.00,,,0,0,,,,,,Match Report
2017-11-26,20:45 ,La Liga,Matchweek 13,Sun,Away,D,1,1,Valencia,1,12,8,66.7,0.08,0.13,18.0,1,0,0,0.8,0.8,0.07,+0.2,+0.2,Match Report
2017-11-29,19:30 ,Copa del Rey,Round of 32,Wed,Home,W,5,0,Real Murcia,5,,,,,,,,0,0,,,,,,Match Report
2017-12-02,13:00 ,La Liga,Matchweek 14,Sat,Home,D,2,2,Celta Vigo,2,22,7,31.8,0.09,0.29,13.1,1,0,0,3.0,3.0,0.14,-1.0,-1.0,Match Report
2017-12-05,20:45 ,Champions Lg,Group stage,Tue,Home,W,2,0,pt Sporting CP,1,14,4,28.6,0.07,0.25,,,0,0,,,,,,Match Report
2017-12-10,20:45 ,La Liga,Matchweek 15,Sun,Away,W,2,0,Villarreal,2,16,6,37.5,0.13,0.33,16.1,2,0,0,2.9,2.9,0.19,-0.9,-0.9,Match Report
2017-12-17,20:45 ,La Liga,Matchweek 16,Sun,Home,W,4,0,La Coruña,4,22,9,40.9,0.18,0.44,12.3,1,0,1,5.5,4.7,0.24,-1.5,-0.7,Match Report
2017-12-23,13:00 ,La Liga,Matchweek 17,Sat,Away,W,3,0,Real Madrid,3,17,10,58.8,0.12,0.20,15.0,1,1,1,2.5,2.4,0.18,+0.5,-0.4,Match Report
2018-01-04,19:00 ,Copa del Rey,Round of 16,Thu,Away,D,1,1,Celta Vigo,1,,,,,,,,0,0,,,,,,Match Report
2018-01-07,16:15 ,La Liga,Matchweek 18,Sun,Home,W,3,0,Levante,3,16,8,50.0,0.19,0.38,15.8,3,0,0,1.9,1.9,0.12,+1.1,+1.1,Match Report
2018-01-11,21:30 ,Copa del Rey,Round of 16,Thu,Home,W,5,0,Celta Vigo,5,,,,,,,,0,0,,,,,,Match Report
2018-01-14,20:45 ,La Liga,Matchweek 19,Sun,Away,W,4,2,Real Sociedad,4,11,5,45.5,0.36,0.80,19.4,3,0,0,1.3,1.3,0.12,+2.7,+2.7,Match Report
2018-01-17,21:00 ,Copa del Rey,Quarter-finals,Wed,Away,L,0,1,Espanyol,0,,,,,,,,0,1,,,,,,Match Report
2018-01-21,20:45 ,La Liga,Matchweek 20,Sun,Away,W,5,0,Betis,5,14,9,64.3,0.36,0.56,16.2,0,0,0,2.4,2.4,0.17,+2.6,+2.6,Match Report
2018-01-25,21:30 ,Copa del Rey,Quarter-finals,Thu,Home,W,2,0,Espanyol,2,,,,,,,,0,0,,,,,,Match Report
2018-01-28,20:45 ,La Liga,Matchweek 21,Sun,Home,W,2,1,Alavés,2,18,12,66.7,0.11,0.17,17.3,4,0,0,1.8,1.8,0.11,+0.2,+0.2,Match Report
2018-02-01,21:30 ,Copa del Rey,Semi-finals,Thu,Home,W,1,0,Valencia,1,,,,,,,,0,0,,,,,,Match Report
2018-02-04,16:15 ,La Liga,Matchweek 22,Sun,Away,D,1,1,Espanyol,1,11,3,27.3,0.09,0.33,15.2,1,0,0,0.7,0.7,0.06,+0.3,+0.3,Match Report
2018-02-08,21:30 ,Copa del Rey,Semi-finals,Thu,Away,W,2,0,Valencia,2,,,,,,,,0,0,,,,,,Match Report
2018-02-11,16:15 ,La Liga,Matchweek 23,Sun,Home,D,0,0,Getafe,0,12,6,50.0,0.00,0.00,19.1,2,0,0,1.0,1.0,0.08,-1.0,-1.0,Match Report
2018-02-17,16:15 ,La Liga,Matchweek 24,Sat,Away,W,2,0,Eibar,2,10,6,60.0,0.20,0.33,13.0,0,0,0,2.4,2.4,0.25,-0.4,-0.4,Match Report
2018-02-20,19:45 ,Champions Lg,Round of 16,Tue,Away,D,1,1,eng Chelsea,1,7,2,28.6,0.14,0.50,,,0,0,,,,,,Match Report
2018-02-24,20:45 ,La Liga,Matchweek 25,Sat,Home,W,6,1,Girona,6,21,12,57.1,0.29,0.50,16.0,3,0,0,3.0,3.0,0.14,+3.0,+3.0,Match Report
