Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2018-03-01,20:00 ,La Liga,Matchweek 26,Thu,Away,D,1,1,Las Palmas,1,11,5,45.5,0.09,0.20,15.9,3,0,0,1.2,1.2,0.11,-0.2,-0.2,Match Report
2018-03-04,16:15 ,La Liga,Matchweek 27,Sun,Home,W,1,0,Atlético Madrid,1,15,5,33.3,0.07,0.20,17.2,2,0,0,1.2,1.2,0.08,-0.2,-0.2,Match Report
2018-03-10,20:45 ,La Liga,Matchweek 28,Sat,Away,W,2,0,Málaga,2,22,9,40.9,0.09,0.22,16.1,2,0,0,2.3,2.3,0.10,-0.3,-0.3,Match Report
2018-03-14,20:45 ,Champions Lg,Round of 16,Wed,Home,W,3,0,eng Chelsea,3,8,7,87.5,0.38,0.43,,,0,0,,,,,,Match Report
2018-03-18,16:15 ,La Liga,Matchweek 29,Sun,Home,W,2,0,Athletic Club,2,17,9,52.9,0.12,0.22,18.3,2,0,0,1.8,1.8,0.11,+0.2,+0.2,Match Report
2018-03-31,20:45 ,La Liga,Matchweek 30,Sat,Away,D,2,2,Sevilla,2,21,8,38.1,0.10,0.25,16.9,2,0,0,2.1,2.1,0.10,-0.1,-0.1,Match Report
2018-04-04,20:45 ,Champions Lg,Quarter-finals,Wed,Home,W,4,1,it Roma,2,19,9,47.4,0.11,0.22,,,0,0,,,,,,Match Report
2018-04-07,20:45 ,La Liga,Matchweek 31,Sat,Home,W,3,1,Leganés,3,13,7,53.8,0.23,0.43,15.7,2,0,0,2.4,2.4,0.19,+0.6,+0.6,Match Report
2018-04-10,20:45 ,Champions Lg,Quarter-finals,Tue,Away,L,0,3,it Roma,0,9,3,33.3,0.00,0.00,,,0,0,,,,,,Match Report
2018-04-14,16:15 ,La Liga,Matchweek 32,Sat,Home,W,2,1,Valencia,2,12,7,58.3,0.17,0.29,13.3,0,0,0,1.7,1.7,0.14,+0.3,+0.3,Match Report
2018-04-17,21:00 ,La Liga,Matchweek 33,Tue,Away,D,2,2,Celta Vigo,2,14,6,42.9,0.14,0.33,14.8,0,0,0,1.7,1.7,0.15,+0.3,+0.3,Match Report
2018-04-21,21:30 ,Copa del Rey,Final,Sat,Neutral,W,5,0,Sevilla,5,,,,,,,,1,1,,,,,,Match Report
2018-04-29,20:45 ,La Liga,Matchweek 35,Sun,Away,W,4,2,La Coruña,4,21,9,42.9,0.19,0.44,14.1,1,0,0,3.5,3.5,0.16,+0.5,+0.5,Match Report
2018-05-06,20:45 ,La Liga,Matchweek 36,Sun,Home,D,2,2,Real Madrid,2,11,4,36.4,0.18,0.50,15.0,1,0,0,1.3,1.3,0.12,+0.7,+0.7,Match Report
2018-05-09,20:00 ,La Liga,Matchweek 34,Wed,Home,W,5,1,Villarreal,5,13,6,46.2,0.38,0.83,14.5,0,0,0,3.3,3.3,0.26,+1.7,+1.7,Match Report
2018-05-13,20:45 ,La Liga,Matchweek 37,Sun,Away,L,4,5,Levante,4,17,6,35.3,0.18,0.50,16.4,1,1,1,2.3,1.6,0.10,+1.7,+1.4,Match Report
2018-05-20,20:45 ,La Liga,Matchweek 38,Sun,Home,W,1,0,Real Sociedad,1,12,4,33.3,0.08,0.25,16.4,1,0,0,1.1,1.1,0.09,-0.1,-0.1,Match Report
