Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Match Report
2017-08-13,22:00 ,Supercopa de España,Supercopa de España,Sun,Neutral,L,1,3,Real Madrid,,,,,,,,,,,,,,,,Match Report
2017-08-16,23:00 ,Supercopa de España,Supercopa de España,Wed,Away,L,0,2,Real Madrid,,,,,,,,,,,,,,,,Match Report
2017-08-20,20:15 ,La Liga,Matchweek 1,Sun,Home,W,2,0,Betis,27,18,1,0,2,3,3,4,3,0,0,0,0,1,0,Match Report
2017-08-26,18:15 ,La Liga,Matchweek 2,Sat,Away,W,2,0,Alavés,35,28,2,1,1,3,0,3,3,0,0,0,0,0,0,Match Report
2017-09-09,20:45 ,La Liga,Matchweek 3,Sat,Home,W,5,0,Espanyol,33,23,2,2,3,2,1,9,6,1,1,1,0,0,0,Match Report
2017-09-12,20:45 ,Champions Lg,Group stage,Tue,Home,W,3,0,it Juventus,,,,,,,,,,,,,,,,Match Report
2017-09-16,16:15 ,La Liga,Matchweek 4,Sat,Away,W,2,1,Getafe,11,9,0,1,0,1,0,3,2,0,1,0,0,0,0,Match Report
2017-09-19,22:00 ,La Liga,Matchweek 5,Tue,Home,W,6,1,Eibar,21,14,1,1,2,2,1,11,7,1,0,2,1,0,0,Match Report
2017-09-23,20:45 ,La Liga,Matchweek 6,Sat,Away,W,3,0,Girona,19,9,4,1,2,3,0,5,3,1,0,1,0,0,0,Match Report
2017-09-27,19:45 ,Champions Lg,Group stage,Wed,Away,W,1,0,pt Sporting CP,,,,,,,,,,,,,,,,Match Report
2017-10-01,16:15 ,La Liga,Matchweek 7,Sun,Home,W,3,0,Las Palmas,35,19,3,7,3,3,0,6,3,1,1,1,0,0,0,Match Report
2017-10-14,20:45 ,La Liga,Matchweek 8,Sat,Away,D,1,1,Atlético Madrid,28,21,1,3,0,3,0,2,2,0,0,0,0,0,0,Match Report
2017-10-18,20:45 ,Champions Lg,Group stage,Wed,Home,W,3,1,gr Olympiacos,,,,,,,,,,,,,,,,Match Report
2017-10-21,20:45 ,La Liga,Matchweek 9,Sat,Home,W,2,0,Málaga,22,18,0,3,1,0,0,4,4,0,0,0,0,0,0,Match Report
2017-10-24,21:30 ,Copa del Rey,Round of 32,Tue,Away,W,3,0,Real Murcia,,,,,,,,,,,,,,,,Match Report
2017-10-28,20:45 ,La Liga,Matchweek 10,Sat,Away,W,2,0,Athletic Club,29,21,0,4,2,2,0,3,2,0,0,1,0,0,0,Match Report
2017-10-31,21:45 ,Champions Lg,Group stage,Tue,Away,D,0,0,gr Olympiacos,,,,,,,,,,,,,,,,Match Report
2017-11-04,20:45 ,La Liga,Matchweek 11,Sat,Home,W,2,1,Sevilla,26,24,0,1,0,1,0,2,2,0,0,0,0,0,0,Match Report
2017-11-18,16:15 ,La Liga,Matchweek 12,Sat,Away,W,3,0,Leganés,16,12,0,1,3,0,0,5,3,0,1,1,0,0,0,Match Report
2017-11-22,20:45 ,Champions Lg,Group stage,Wed,Away,D,0,0,it Juventus,,,,,,,,,,,,,,,,Match Report
