Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Match Report
2017-11-26,20:45 ,La Liga,Matchweek 13,Sun,Away,D,1,1,Valencia,20,15,2,0,1,1,1,2,2,0,0,0,0,0,0,Match Report
2017-11-29,19:30 ,Copa del Rey,Round of 32,Wed,Home,W,5,0,Real Murcia,,,,,,,,,,,,,,,,Match Report
2017-12-02,13:00 ,La Liga,Matchweek 14,Sat,Home,D,2,2,Celta Vigo,31,19,0,5,5,1,1,4,4,0,0,0,0,0,0,Match Report
2017-12-05,20:45 ,Champions Lg,Group stage,Tue,Home,W,2,0,pt Sporting CP,,,,,,,,,,,,,,,,Match Report
2017-12-10,20:45 ,La Liga,Matchweek 15,Sun,Away,W,2,0,Villarreal,27,20,1,3,1,2,0,4,2,0,2,0,0,0,0,Match Report
2017-12-17,20:45 ,La Liga,Matchweek 16,Sun,Home,W,4,0,La Coruña,36,27,0,2,4,3,0,6,4,0,0,2,0,0,0,Match Report
2017-12-23,13:00 ,La Liga,Matchweek 17,Sat,Away,W,3,0,Real Madrid,29,23,1,2,2,1,0,5,3,0,1,1,0,0,0,Match Report
2018-01-04,19:00 ,Copa del Rey,Round of 16,Thu,Away,D,1,1,Celta Vigo,,,,,,,,,,,,,,,,Match Report
2018-01-07,16:15 ,La Liga,Matchweek 18,Sun,Home,W,3,0,Levante,29,21,0,1,3,3,1,6,5,0,1,0,0,0,0,Match Report
2018-01-11,21:30 ,Copa del Rey,Round of 16,Thu,Home,W,5,0,Celta Vigo,,,,,,,,,,,,,,,,Match Report
2018-01-14,20:45 ,La Liga,Matchweek 19,Sun,Away,W,4,2,Real Sociedad,19,13,0,3,0,3,0,6,5,0,0,0,1,0,0,Match Report
2018-01-17,21:00 ,Copa del Rey,Quarter-finals,Wed,Away,L,0,1,Espanyol,,,,,,,,,,,,,,,,Match Report
2018-01-21,20:45 ,La Liga,Matchweek 20,Sun,Away,W,5,0,Betis,25,21,0,2,0,0,2,9,7,0,0,0,0,2,0,Match Report
2018-01-25,21:30 ,Copa del Rey,Quarter-finals,Thu,Home,W,2,0,Espanyol,,,,,,,,,,,,,,,,Match Report
2018-01-28,20:45 ,La Liga,Matchweek 21,Sun,Home,W,2,1,Alavés,28,19,1,1,1,5,1,4,2,0,1,0,1,0,0,Match Report
2018-02-01,21:30 ,Copa del Rey,Semi-finals,Thu,Home,W,1,0,Valencia,,,,,,,,,,,,,,,,Match Report
2018-02-04,16:15 ,La Liga,Matchweek 22,Sun,Away,D,1,1,Espanyol,22,17,2,0,0,2,1,2,0,1,0,0,1,0,0,Match Report
2018-02-08,21:30 ,Copa del Rey,Semi-finals,Thu,Away,W,2,0,Valencia,,,,,,,,,,,,,,,,Match Report
2018-02-11,16:15 ,La Liga,Matchweek 23,Sun,Home,D,0,0,Getafe,23,17,2,2,0,2,0,0,0,0,0,0,0,0,0,Match Report
2018-02-17,16:15 ,La Liga,Matchweek 24,Sat,Away,W,2,0,Eibar,18,13,0,4,1,0,0,3,1,0,1,1,0,0,0,Match Report
2018-02-20,19:45 ,Champions Lg,Round of 16,Tue,Away,D,1,1,eng Chelsea,,,,,,,,,,,,,,,,Match Report
2018-02-24,20:45 ,La Liga,Matchweek 25,Sat,Home,W,6,1,Girona,36,24,2,3,2,3,2,11,10,0,0,0,1,0,0,Match Report
2018-03-01,20:00 ,La Liga,Matchweek 26,Thu,Away,D,1,1,Las Palmas,18,8,2,1,2,4,1,2,0,0,0,0,2,0,0,Match Report
2018-03-04,16:15 ,La Liga,Matchweek 27,Sun,Home,W,1,0,Atlético Madrid,28,15,4,3,3,2,1,2,0,0,0,1,1,0,0,Match Report
2018-03-10,20:45 ,La Liga,Matchweek 28,Sat,Away,W,2,0,Málaga,37,27,2,2,1,4,1,4,4,0,0,0,0,0,0,Match Report
2018-03-14,20:45 ,Champions Lg,Round of 16,Wed,Home,W,3,0,eng Chelsea,,,,,,,,,,,,,,,,Match Report
2018-03-18,16:15 ,La Liga,Matchweek 29,Sun,Home,W,2,0,Athletic Club,28,22,0,2,1,3,0,4,4,0,0,0,0,0,0,Match Report
2018-03-31,20:45 ,La Liga,Matchweek 30,Sat,Away,D,2,2,Sevilla,31,22,4,1,2,2,0,3,2,0,0,1,0,0,0,Match Report
2018-04-04,20:45 ,Champions Lg,Quarter-finals,Wed,Home,W,4,1,it Roma,,,,,,,,,,,,,,,,Match Report
2018-04-07,20:45 ,La Liga,Matchweek 31,Sat,Home,W,3,1,Leganés,23,20,0,1,0,2,0,6,5,0,0,0,1,0,0,Match Report
2018-04-10,20:45 ,Champions Lg,Quarter-finals,Tue,Away,L,0,3,it Roma,,,,,,,,,,,,,,,,Match Report
2018-04-14,16:15 ,La Liga,Matchweek 32,Sat,Home,W,2,1,Valencia,23,21,1,1,0,0,0,3,2,1,0,0,0,0,0,Match Report
2018-04-17,21:00 ,La Liga,Matchweek 33,Tue,Away,D,2,2,Celta Vigo,21,17,1,1,2,0,0,3,2,0,0,1,0,0,0,Match Report
2018-04-21,21:30 ,Copa del Rey,Final,Sat,Neutral,W,5,0,Sevilla,,,,,,,,,,,,,,,,Match Report
2018-04-29,20:45 ,La Liga,Matchweek 35,Sun,Away,W,4,2,La Coruña,36,32,1,0,0,1,2,7,7,0,0,0,0,0,0,Match Report
2018-05-06,20:45 ,La Liga,Matchweek 36,Sun,Home,D,2,2,Real Madrid,17,12,1,2,1,1,0,4,3,0,1,0,0,0,0,Match Report
2018-05-09,20:00 ,La Liga,Matchweek 34,Wed,Home,W,5,1,Villarreal,17,10,1,5,1,0,0,8,5,0,2,1,0,0,0,Match Report
2018-05-13,20:45 ,La Liga,Matchweek 37,Sun,Away,L,4,5,Levante,28,17,4,1,1,4,1,5,2,0,0,1,2,0,0,Match Report
2018-05-20,20:45 ,La Liga,Matchweek 38,Sun,Home,W,1,0,Real Sociedad,22,17,2,1,0,2,0,2,2,0,0,0,0,0,0,Match Report
