Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
2018-08-12,21:00 ,Supercopa de España,Supercopa de España,Sun,Neutral,W,2,1,Sevilla,3,0,0,13,20,3,7,4,11,0,1,0,,,,,Match Report
2018-08-18,22:15 ,La Liga,Matchweek 1,Sat,Home,W,3,0,Alavés,0,0,0,6,12,3,17,0,3,0,0,0,101,9,2,81.8,Match Report
2018-08-25,22:15 ,La Liga,Matchweek 2,Sat,Away,W,1,0,Valladolid,1,0,0,11,10,1,15,0,4,0,0,0,93,6,6,50.0,Match Report
2018-09-02,18:30 ,La Liga,Matchweek 3,Sun,Home,W,8,2,Huesca,1,0,0,6,12,2,10,5,11,1,0,0,74,1,0,100.0,Match Report
2018-09-15,16:15 ,La Liga,Matchweek 4,Sat,Away,W,2,1,Real Sociedad,1,0,0,8,18,0,7,7,14,0,0,0,100,7,11,38.9,Match Report
2018-09-18,18:55 ,Champions Lg,Group stage,Tue,Home,W,4,0,nl PSV Eindhoven,1,1,1,10,12,1,10,6,10,0,0,0,88,5,5,50.0,Match Report
2018-09-23,20:45 ,La Liga,Matchweek 5,Sun,Home,D,2,2,Girona,3,1,0,9,16,1,11,6,7,0,0,0,85,4,2,66.7,Match Report
2018-09-26,20:00 ,La Liga,Matchweek 6,Wed,Away,L,1,2,Leganés,2,0,0,11,15,5,10,5,11,0,0,0,83,9,8,52.9,Match Report
2018-09-29,16:15 ,La Liga,Matchweek 7,Sat,Home,D,1,1,Athletic Club,3,0,0,9,18,2,13,8,11,0,0,0,122,11,10,52.4,Match Report
2018-10-03,20:00 ,Champions Lg,Group stage,Wed,Away,W,4,2,eng Tottenham,2,0,0,9,17,3,6,10,12,0,0,0,71,4,5,44.4,Match Report
2018-10-07,20:45 ,La Liga,Matchweek 8,Sun,Away,D,1,1,Valencia,2,0,0,6,11,2,10,9,10,0,0,0,93,3,4,42.9,Match Report
2018-10-20,20:45 ,La Liga,Matchweek 9,Sat,Home,W,4,2,Sevilla,0,0,0,10,14,1,4,9,10,1,0,0,71,8,9,47.1,Match Report
2018-10-24,21:00 ,Champions Lg,Group stage,Wed,Home,W,2,0,it Inter,1,0,0,11,18,4,12,11,17,0,0,0,87,9,7,56.3,Match Report
2018-10-28,16:15 ,La Liga,Matchweek 10,Sun,Home,W,5,1,Real Madrid,2,0,0,17,14,2,12,11,11,1,0,0,65,5,3,62.5,Match Report
2018-10-31,21:30 ,Copa del Rey,Round of 32,Wed,Away,W,1,0,Leonesa,1,0,0,9,22,2,15,12,12,0,0,0,,,,,Match Report
2018-11-03,20:45 ,La Liga,Matchweek 11,Sat,Away,W,3,2,Rayo Vallecano,2,0,0,11,23,2,18,5,21,0,0,0,89,5,5,50.0,Match Report
