Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Match Report
2018-08-12,21:00 ,Supercopa de España,Supercopa de España,Sun,Neutral,W,2,1,Sevilla,,,,,,,,7,,,,,,,,,,,,,,,,,,Match Report
2018-08-18,22:15 ,La Liga,Matchweek 1,Sat,Home,W,3,0,Alavés,890,862,28,7,4,162,29,17,6,0,0,0,753,37,100,296,546,19,13,9,792,4,4,12,15,Match Report
2018-08-25,22:15 ,La Liga,Matchweek 2,Sat,Away,W,1,0,Valladolid,615,578,37,10,3,56,16,15,7,0,0,0,492,37,86,196,368,21,15,9,511,1,9,15,18,Match Report
2018-09-02,18:30 ,La Liga,Matchweek 3,Sun,Home,W,8,2,Huesca,708,671,37,10,9,116,10,10,9,0,0,0,600,33,75,249,415,23,13,8,642,2,6,7,10,Match Report
2018-09-15,16:15 ,La Liga,Matchweek 4,Sat,Away,W,2,1,Real Sociedad,793,745,48,21,3,95,26,7,6,0,0,0,661,47,85,291,453,17,14,13,697,0,7,23,14,Match Report
2018-09-18,18:55 ,Champions Lg,Group stage,Tue,Home,W,4,0,nl PSV Eindhoven,826,780,46,11,5,85,22,10,8,0,0,0,689,37,100,259,512,27,17,7,741,1,10,5,15,Match Report
2018-09-23,20:45 ,La Liga,Matchweek 5,Sun,Home,D,2,2,Girona,768,728,40,13,0,53,10,11,8,0,0,0,664,43,61,205,512,28,14,7,701,1,6,16,8,Match Report
2018-09-26,20:00 ,La Liga,Matchweek 6,Wed,Away,L,1,2,Leganés,855,802,53,15,5,53,22,10,5,3,0,0,699,76,80,258,517,35,26,12,758,5,9,5,15,Match Report
2018-09-29,16:15 ,La Liga,Matchweek 7,Sat,Home,D,1,1,Athletic Club,720,660,60,18,6,65,8,13,4,0,0,0,566,67,87,214,431,32,26,7,603,2,7,19,14,Match Report
2018-10-03,20:00 ,Champions Lg,Group stage,Wed,Away,W,4,2,eng Tottenham,711,652,59,25,2,102,14,6,1,0,0,0,548,83,80,240,421,14,24,7,625,3,7,9,18,Match Report
