Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Match Report
2018-08-05,15:00 ,Community Shield,FA Community Shield,Sun,Neutral,L,0,2,Manchester City,,,,,,,,,,,,,,,,Match Report
2018-08-11,15:00 ,Premier League,Matchweek 1,Sat,Away,W,3,0,Huddersfield,22,10,2,2,3,5,0,6,4,0,0,0,2,0,0,Match Report
2018-08-18,17:30 ,Premier League,Matchweek 2,Sat,Home,W,3,2,Arsenal,37,31,0,4,1,1,0,6,5,0,1,0,0,0,0,Match Report
2018-08-26,16:00 ,Premier League,Matchweek 3,Sun,Away,W,2,1,Newcastle Utd,28,18,3,4,2,1,0,3,1,0,0,1,1,0,0,Match Report
2018-09-01,15:00 ,Premier League,Matchweek 4,Sat,Home,W,2,0,Bournemouth,43,37,3,0,1,2,0,4,4,0,0,0,0,0,0,Match Report
2018-09-15,15:00 ,Premier League,Matchweek 5,Sat,Home,W,4,1,Cardiff City,36,31,0,3,0,2,0,8,6,0,1,0,1,0,0,Match Report
2018-09-20,19:55 ,Europa Lg,Group stage,Thu,Away,W,1,0,gr PAOK,38,28,2,4,2,1,1,2,2,0,0,0,0,0,0,Match Report
2018-09-23,13:30 ,Premier League,Matchweek 6,Sun,Away,D,0,0,West Ham,28,23,2,1,0,1,1,0,0,0,0,0,0,0,0,Match Report
2018-09-26,19:45 ,EFL Cup,Third round,Wed,Away,W,2,1,Liverpool,,,,,,,,,,,,,,,,Match Report
2018-09-29,17:30 ,Premier League,Matchweek 7,Sat,Home,D,1,1,Liverpool,15,8,4,1,0,2,0,2,2,0,0,0,0,0,0,Match Report
2018-10-04,20:00 ,Europa Lg,Group stage,Thu,Home,W,1,0,hu Vidi,42,26,6,6,0,4,0,2,2,0,0,0,0,0,0,Match Report
2018-10-07,14:15 ,Premier League,Matchweek 8,Sun,Away,W,3,0,Southampton,33,23,4,1,4,0,1,6,4,1,0,0,0,1,0,Match Report
2018-10-20,12:30 ,Premier League,Matchweek 9,Sat,Home,D,2,2,Manchester Utd,36,30,2,0,2,2,0,2,0,1,0,1,0,0,0,Match Report
2018-10-25,20:00 ,Europa Lg,Group stage,Thu,Home,W,3,1,by BATE Borisov,34,23,2,5,2,1,1,4,1,1,2,0,0,0,0,Match Report
2018-10-28,13:30 ,Premier League,Matchweek 10,Sun,Away,W,4,0,Burnley,40,32,1,1,6,0,0,7,6,0,0,1,0,0,0,Match Report
2018-10-31,19:45 ,EFL Cup,Fourth round,Wed,Home,W,3,2,Derby County,,,,,,,,,,,,,,,,Match Report
2018-11-04,16:00 ,Premier League,Matchweek 11,Sun,Home,W,3,1,Crystal Palace,29,21,4,1,1,2,0,5,3,1,0,0,1,0,0,Match Report
2018-11-08,20:55 ,Europa Lg,Group stage,Thu,Away,W,1,0,by BATE Borisov,30,23,3,1,3,0,0,2,2,0,0,0,0,0,0,Match Report
2018-11-11,14:15 ,Premier League,Matchweek 12,Sun,Home,D,0,0,Everton,22,14,3,1,1,3,0,0,0,0,0,0,0,0,0,Match Report
2018-11-24,17:30 ,Premier League,Matchweek 13,Sat,Away,L,1,3,Tottenham,22,17,1,1,1,0,2,2,2,0,0,0,0,0,0,Match Report
2018-11-29,20:00 ,Europa Lg,Group stage,Thu,Home,W,4,0,gr PAOK,50,41,3,0,2,3,1,8,8,0,0,0,0,0,0,Match Report
