Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Match Report
2019-08-11,16:30 ,Premier League,Matchweek 1,Sun,Away,L,0,4,Manchester Utd,681,56,163,372,185,22,631,14,24,58.3,14,0,499,2722,1358,544,470,86.4,12,12,Match Report
2019-08-14,22:00 ,Super Cup,UEFA Super Cup,Wed,Away,L,2 (4),2 (5),eng Liverpool,,,,,,,,,,,,,,,,,,,,,Match Report
2019-08-18,16:30 ,Premier League,Matchweek 2,Sun,Home,D,1,1,Leicester City,621,67,205,288,176,21,565,13,37,35.1,13,0,364,2450,1414,450,374,83.1,15,2,Match Report
2019-08-24,12:30 ,Premier League,Matchweek 3,Sat,Away,W,3,2,Norwich City,707,49,191,342,227,37,659,29,32,90.6,30,0,554,2929,1540,563,487,86.5,14,21,Match Report
2019-08-31,15:00 ,Premier League,Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,850,69,340,421,153,23,807,8,14,57.1,9,1,650,3273,1735,744,651,87.5,7,10,Match Report
2019-09-14,15:00 ,Premier League,Matchweek 5,Sat,Away,W,5,2,Wolves,734,86,279,356,145,25,686,12,17,70.6,12,0,508,2997,1471,565,502,88.8,17,16,Match Report
2019-09-17,20:00 ,Champions Lg,Group stage,Tue,Home,L,0,1,es Valencia,733,41,171,391,230,36,687,13,19,68.4,13,0,583,2864,1569,611,556,91.0,12,7,Match Report
2019-09-22,16:30 ,Premier League,Matchweek 6,Sun,Home,L,1,2,Liverpool,664,66,232,279,191,23,607,9,15,60.0,10,1,447,2337,1194,530,421,79.4,22,4,Match Report
2019-09-25,19:45 ,EFL Cup,Third round,Wed,Home,W,7,1,Grimsby Town,,,,,,,,,,,,,,,,,,,,,Match Report
2019-09-28,15:00 ,Premier League,Matchweek 7,Sat,Home,W,2,0,Brighton,714,67,236,318,208,36,668,4,9,44.4,4,0,533,3197,1740,595,508,85.4,9,15,Match Report
2019-10-02,21:00 ,Champions Lg,Group stage,Wed,Away,W,2,1,fr Lille,792,60,240,421,188,21,745,13,20,65.0,15,3,579,2621,1248,640,562,87.8,19,18,Match Report
2019-10-06,14:00 ,Premier League,Matchweek 8,Sun,Away,W,4,1,Southampton,681,65,230,324,154,23,627,9,16,56.3,9,1,461,2073,973,544,422,77.6,9,13,Match Report
