Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Match Report
2019-08-11,16:30 ,Premier League,Matchweek 1,Sun,Away,L,0,4,Manchester Utd,29,20,4,2,2,1,0,0,0,0,0,0,0,0,0,Match Report
2019-08-14,22:00 ,Super Cup,UEFA Super Cup,Wed,Away,L,2 (4),2 (5),eng Liverpool,,,,,,,,,,,,,,,,Match Report
2019-08-18,16:30 ,Premier League,Matchweek 2,Sun,Home,D,1,1,Leicester City,25,22,1,0,0,1,1,1,0,0,0,0,0,1,0,Match Report
2019-08-24,12:30 ,Premier League,Matchweek 3,Sat,Away,W,3,2,Norwich City,42,33,1,5,2,0,1,6,4,0,2,0,0,0,0,Match Report
2019-08-31,15:00 ,Premier League,Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,22,16,1,2,1,2,0,1,0,0,0,1,0,0,0,Match Report
2019-09-14,15:00 ,Premier League,Matchweek 5,Sat,Away,W,5,2,Wolves,22,12,4,3,0,3,0,4,3,0,1,0,0,0,0,Match Report
2019-09-17,20:00 ,Champions Lg,Group stage,Tue,Home,L,0,1,es Valencia,38,23,5,3,5,2,0,0,0,0,0,0,0,0,0,Match Report
2019-09-22,16:30 ,Premier League,Matchweek 6,Sun,Home,L,1,2,Liverpool,22,20,1,0,1,0,0,2,2,0,0,0,0,0,0,Match Report
2019-09-25,19:45 ,EFL Cup,Third round,Wed,Home,W,7,1,Grimsby Town,,,,,,,,,,,,,,,,Match Report
2019-09-28,15:00 ,Premier League,Matchweek 7,Sat,Home,W,2,0,Brighton,37,30,1,0,3,1,2,3,2,0,0,0,1,0,0,Match Report
2019-10-02,21:00 ,Champions Lg,Group stage,Wed,Away,W,2,1,fr Lille,18,12,2,1,0,3,0,4,3,0,1,0,0,0,0,Match Report
2019-10-06,14:00 ,Premier League,Matchweek 8,Sun,Away,W,4,1,Southampton,24,19,2,2,1,0,0,7,7,0,0,0,0,0,0,Match Report
2019-10-19,15:00 ,Premier League,Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,26,18,4,1,2,1,0,2,2,0,0,0,0,0,0,Match Report
2019-10-23,18:55 ,Champions Lg,Group stage,Wed,Away,W,1,0,nl Ajax,27,20,4,1,2,0,0,2,2,0,0,0,0,0,0,Match Report
2019-10-26,17:30 ,Premier League,Matchweek 10,Sat,Away,W,4,2,Burnley,22,17,2,0,0,2,1,4,3,0,0,0,0,1,0,Match Report
2019-10-30,20:05 ,EFL Cup,Fourth round,Wed,Home,L,1,2,Manchester Utd,,,,,,,,,,,,,,,,Match Report
2019-11-02,17:30 ,Premier League,Matchweek 11,Sat,Away,W,2,1,Watford,25,20,1,2,1,1,0,4,4,0,0,0,0,0,0,Match Report
2019-11-05,20:00 ,Champions Lg,Group stage,Tue,Home,D,4,4,nl Ajax,38,25,2,4,5,2,0,5,0,0,1,3,1,0,0,Match Report
2019-11-09,12:30 ,Premier League,Matchweek 12,Sat,Home,W,2,0,Crystal Palace,38,27,1,4,2,3,1,3,2,0,0,1,0,0,0,Match Report
2019-11-23,17:30 ,Premier League,Matchweek 13,Sat,Away,L,1,2,Manchester City,16,14,0,0,1,1,0,2,2,0,0,0,0,0,0,Match Report
2019-11-27,18:55 ,Champions Lg,Group stage,Wed,Away,D,2,2,es Valencia,25,21,2,1,1,0,0,2,2,0,0,0,0,0,0,Match Report
2019-11-30,15:00 ,Premier League,Matchweek 14,Sat,Home,L,0,1,West Ham,30,22,4,2,1,1,0,0,0,0,0,0,0,0,0,Match Report
2019-12-04,19:30 ,Premier League,Matchweek 15,Wed,Home,W,2,1,Aston Villa,41,31,1,5,1,1,2,4,4,0,0,0,0,0,0,Match Report
2019-12-07,12:30 ,Premier League,Matchweek 16,Sat,Away,L,1,3,Everton,25,18,3,1,1,2,0,0,0,0,0,0,0,0,0,Match Report
2019-12-10,20:00 ,Champions Lg,Group stage,Tue,Home,W,2,1,fr Lille,34,24,1,4,3,1,1,3,1,1,1,0,0,0,0,Match Report
2019-12-14,15:00 ,Premier League,Matchweek 17,Sat,Home,L,0,1,Bournemouth,20,14,2,1,2,1,0,0,0,0,0,0,0,0,0,Match Report
2019-12-22,16:30 ,Premier League,Matchweek 18,Sun,Away,W,2,0,Tottenham,22,16,2,1,0,3,0,4,2,1,0,0,1,0,0,Match Report
2019-12-26,15:00 ,Premier League,Matchweek 19,Thu,Home,L,0,2,Southampton,19,13,4,1,0,1,0,0,0,0,0,0,0,0,0,Match Report
2019-12-29,14:00 ,Premier League,Matchweek 20,Sun,Away,W,2,1,Arsenal,18,11,4,0,1,2,0,4,2,1,0,0,1,0,0,Match Report
2020-01-01,12:30 ,Premier League,Matchweek 21,Wed,Away,D,1,1,Brighton,22,15,3,1,1,1,1,1,0,0,0,1,0,0,0,Match Report
2020-01-05,14:01 ,FA Cup,Third round,Sun,Home,W,2,0,Nott'ham Forest,,,,,,,,,,,,,,,,Match Report
2020-01-11,15:00 ,Premier League,Matchweek 22,Sat,Home,W,3,0,Burnley,32,26,2,0,2,2,0,6,5,0,0,0,1,0,0,Match Report
2020-01-18,17:30 ,Premier League,Matchweek 23,Sat,Away,L,0,1,Newcastle Utd,32,29,1,1,0,1,0,0,0,0,0,0,0,0,0,Match Report
2020-01-21,20:15 ,Premier League,Matchweek 24,Tue,Home,D,2,2,Arsenal,34,26,4,1,0,3,0,4,1,1,1,0,1,0,0,Match Report
2020-01-25,17:30 ,FA Cup,Fourth round,Sat,Away,W,2,1,Hull City,,,,,,,,,,,,,,,,Match Report
2020-02-01,12:30 ,Premier League,Matchweek 25,Sat,Away,D,2,2,Leicester City,9,5,2,0,0,2,0,3,0,2,0,0,1,0,0,Match Report
2020-02-17,20:00 ,Premier League,Matchweek 26,Mon,Home,L,0,2,Manchester Utd,19,17,0,1,0,1,0,0,0,0,0,0,0,0,0,Match Report
2020-02-22,12:30 ,Premier League,Matchweek 27,Sat,Home,W,2,1,Tottenham,29,18,2,3,4,2,0,3,2,0,0,1,0,0,0,Match Report
2020-02-25,20:00 ,Champions Lg,Round of 16,Tue,Home,L,0,3,de Bayern Munich,12,6,3,1,1,0,1,0,0,0,0,0,0,0,0,Match Report
2020-02-29,15:00 ,Premier League,Matchweek 28,Sat,Away,D,2,2,Bournemouth,37,29,3,1,4,0,0,2,0,0,0,2,0,0,0,Match Report
2020-03-03,19:45 ,FA Cup,Fifth round,Tue,Home,W,2,0,Liverpool,,,,,,,,,,,,,,,,Match Report
2020-03-08,14:00 ,Premier League,Matchweek 29,Sun,Home,W,4,0,Everton,31,21,4,4,1,1,0,8,7,0,1,0,0,0,0,Match Report
2020-06-21,16:15 ,Premier League,Matchweek 30,Sun,Away,W,2,1,Aston Villa,28,24,2,1,0,0,1,4,4,0,0,0,0,0,0,Match Report
2020-06-25,20:15 ,Premier League,Matchweek 31,Thu,Home,W,2,1,Manchester City,18,7,2,3,4,1,1,2,0,0,1,1,0,0,0,Match Report
2020-06-28,16:00 ,FA Cup,Quarter-finals,Sun,Away,W,1,0,Leicester City,,,,,,,,,,,,,,,,Match Report
2020-07-01,20:15 ,Premier League,Matchweek 32,Wed,Away,L,2,3,West Ham,26,21,2,0,0,3,0,4,2,0,0,0,2,0,0,Match Report
2020-07-04,20:00 ,Premier League,Matchweek 33,Sat,Home,W,3,0,Watford,32,22,1,0,3,5,1,6,5,0,0,0,1,0,0,Match Report
2020-07-07,18:00 ,Premier League,Matchweek 34,Tue,Away,W,3,2,Crystal Palace,22,16,4,2,0,0,0,6,6,0,0,0,0,0,0,Match Report
2020-07-11,17:30 ,Premier League,Matchweek 35,Sat,Away,L,0,3,Sheffield Utd,27,20,2,1,2,2,0,0,0,0,0,0,0,0,0,Match Report
2020-07-14,20:15 ,Premier League,Matchweek 36,Tue,Home,W,1,0,Norwich City,36,28,4,0,2,1,1,2,2,0,0,0,0,0,0,Match Report
2020-07-19,18:00 ,FA Cup,Semi-finals,Sun,Neutral,W,3,1,Manchester Utd,,,,,,,,,,,,,,,,Match Report
2020-07-22,20:15 ,Premier League,Matchweek 37,Wed,Away,L,3,5,Liverpool,17,13,2,1,1,0,0,5,2,1,1,1,0,0,0,Match Report
2020-07-26,16:00 ,Premier League,Matchweek 38,Sun,Home,W,2,0,Wolves,15,9,3,1,0,2,0,3,1,0,1,0,1,0,0,Match Report
2020-08-01,17:30 ,FA Cup,Final,Sat,Neutral,L,1,2,Arsenal,,,,,,,,,,,,,,,,Match Report
2020-08-08,21:00 ,Champions Lg,Round of 16,Sat,Away,L,1,4,de Bayern Munich,17,13,0,1,0,2,1,0,0,0,0,0,0,0,0,Match Report
