Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2018-08-05,15:00 ,Community Shield,FA Community Shield,Sun,Neutral,L,0,2,Manchester City,0,6,2,33.3,0.00,0.00,,,0,0,,,,,,Match Report
2018-08-11,15:00 ,Premier League,Matchweek 1,Sat,Away,W,3,0,Huddersfield,3,12,3,25.0,0.17,0.67,15.7,2,1,1,1.9,1.1,0.10,+1.1,+0.9,Match Report
2018-08-18,17:30 ,Premier League,Matchweek 2,Sat,Home,W,3,2,Arsenal,3,23,11,47.8,0.13,0.27,20.1,1,0,0,2.3,2.3,0.10,+0.7,+0.7,Match Report
2018-08-26,16:00 ,Premier League,Matchweek 3,Sun,Away,W,2,1,Newcastle Utd,1,16,3,18.8,0.00,0.00,17.7,0,1,1,1.5,0.8,0.05,-0.5,-0.8,Match Report
2018-09-01,15:00 ,Premier League,Matchweek 4,Sat,Home,W,2,0,Bournemouth,2,25,6,24.0,0.08,0.33,19.2,1,0,0,1.4,1.4,0.06,+0.6,+0.6,Match Report
2018-09-15,15:00 ,Premier League,Matchweek 5,Sat,Home,W,4,1,Cardiff City,4,18,6,33.3,0.17,0.50,14.8,1,1,1,2.3,1.6,0.09,+1.7,+1.4,Match Report
2018-09-20,19:55 ,Europa Lg,Group stage,Thu,Away,W,1,0,gr PAOK,1,20,5,25.0,0.05,0.20,16.0,1,0,0,2.1,2.1,0.11,-1.1,-1.1,Match Report
2018-09-23,13:30 ,Premier League,Matchweek 6,Sun,Away,D,0,0,West Ham,0,16,6,37.5,0.00,0.00,15.5,1,0,0,1.7,1.7,0.10,-1.7,-1.7,Match Report
2018-09-26,19:45 ,EFL Cup,Third round,Wed,Away,W,2,1,Liverpool,2,13,7,53.8,0.15,0.29,,,0,0,,,,,,Match Report
2018-09-29,17:30 ,Premier League,Matchweek 7,Sat,Home,D,1,1,Liverpool,1,10,4,40.0,0.10,0.25,12.9,0,0,0,1.3,1.3,0.13,-0.3,-0.3,Match Report
2018-10-04,20:00 ,Europa Lg,Group stage,Thu,Home,W,1,0,hu Vidi,1,27,4,14.8,0.04,0.25,18.0,1,0,0,2.6,2.6,0.10,-1.6,-1.6,Match Report
2018-10-07,14:15 ,Premier League,Matchweek 8,Sun,Away,W,3,0,Southampton,3,20,6,30.0,0.15,0.50,14.6,0,0,0,2.7,2.7,0.14,+0.3,+0.3,Match Report
2018-10-20,12:30 ,Premier League,Matchweek 9,Sat,Home,D,2,2,Manchester Utd,2,21,6,28.6,0.10,0.33,18.2,1,0,0,1.8,1.8,0.10,+0.2,+0.2,Match Report
2018-10-25,20:00 ,Europa Lg,Group stage,Thu,Home,W,3,1,by BATE Borisov,3,23,10,43.5,0.13,0.30,17.5,0,0,0,2.4,2.4,0.11,+0.6,+0.6,Match Report
2018-10-28,13:30 ,Premier League,Matchweek 10,Sun,Away,W,4,0,Burnley,4,24,8,33.3,0.17,0.50,14.9,0,0,0,3.0,3.0,0.13,+1.0,+1.0,Match Report
2018-10-31,19:45 ,EFL Cup,Fourth round,Wed,Home,W,3,2,Derby County,1,14,5,35.7,0.07,0.20,,,0,0,,,,,,Match Report
2018-11-04,16:00 ,Premier League,Matchweek 11,Sun,Home,W,3,1,Crystal Palace,3,15,6,40.0,0.20,0.50,16.9,0,0,0,1.6,1.6,0.11,+1.4,+1.4,Match Report
2018-11-08,20:55 ,Europa Lg,Group stage,Thu,Away,W,1,0,by BATE Borisov,1,18,4,22.2,0.06,0.25,18.6,0,0,0,0.9,0.9,0.05,+0.1,+0.1,Match Report
2018-11-11,14:15 ,Premier League,Matchweek 12,Sun,Home,D,0,0,Everton,0,14,3,21.4,0.00,0.00,21.7,1,0,0,1.0,1.0,0.07,-1.0,-1.0,Match Report
2018-11-24,17:30 ,Premier League,Matchweek 13,Sat,Away,L,1,3,Tottenham,1,13,2,15.4,0.08,0.50,17.0,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Match Report
2018-11-29,20:00 ,Europa Lg,Group stage,Thu,Home,W,4,0,gr PAOK,4,28,10,35.7,0.14,0.40,18.7,3,0,0,2.4,2.4,0.08,+1.6,+1.6,Match Report
2018-12-02,12:00 ,Premier League,Matchweek 14,Sun,Home,W,2,0,Fulham,2,16,9,56.3,0.13,0.22,17.7,3,0,0,1.6,1.6,0.10,+0.4,+0.4,Match Report
