Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2018-12-05,19:45 ,Premier League,Matchweek 15,Wed,Away,L,1,2,Wolves,1,17,3,17.6,0.06,0.33,18.4,1,0,0,1.3,1.3,0.08,-0.3,-0.3,Match Report
2018-12-08,17:30 ,Premier League,Matchweek 16,Sat,Home,W,2,0,Manchester City,2,8,5,62.5,0.25,0.40,17.0,1,0,0,0.6,0.6,0.08,+1.4,+1.4,Match Report
2018-12-13,18:55 ,Europa Lg,Group stage,Thu,Away,D,2,2,hu Vidi,2,17,5,29.4,0.12,0.40,18.6,3,0,0,1.1,1.1,0.06,+0.9,+0.9,Match Report
2018-12-16,13:30 ,Premier League,Matchweek 17,Sun,Away,W,2,1,Brighton,2,10,3,30.0,0.20,0.67,19.1,2,0,0,1.5,1.5,0.16,+0.5,+0.5,Match Report
2018-12-19,19:45 ,EFL Cup,Quarter-finals,Wed,Home,W,1,0,Bournemouth,1,25,12,48.0,0.04,0.08,,,0,0,,,,,,Match Report
2018-12-22,15:00 ,Premier League,Matchweek 18,Sat,Home,L,0,1,Leicester City,0,17,5,29.4,0.00,0.00,15.0,0,0,0,1.6,1.6,0.09,-1.6,-1.6,Match Report
2018-12-26,19:30 ,Premier League,Matchweek 19,Wed,Away,W,2,1,Watford,2,9,3,33.3,0.11,0.33,14.8,0,1,1,2.5,1.8,0.22,-0.5,-0.8,Match Report
2018-12-30,12:00 ,Premier League,Matchweek 20,Sun,Away,W,1,0,Crystal Palace,1,12,3,25.0,0.08,0.33,20.2,1,0,0,0.6,0.6,0.05,+0.4,+0.4,Match Report
2019-01-02,19:45 ,Premier League,Matchweek 21,Wed,Home,D,0,0,Southampton,0,16,6,37.5,0.00,0.00,19.1,2,0,0,1.2,1.2,0.07,-1.2,-1.2,Match Report
2019-01-05,15:00 ,FA Cup,Third round,Sat,Home,W,2,0,Nott'ham Forest,2,24,9,37.5,0.08,0.22,,,0,1,,,,,,Match Report
2019-01-08,20:00 ,EFL Cup,Semi-finals,Tue,Away,L,0,1,Tottenham,0,17,5,29.4,0.00,0.00,,,0,0,,,,,,Match Report
2019-01-12,17:30 ,Premier League,Matchweek 22,Sat,Home,W,2,1,Newcastle Utd,2,10,6,60.0,0.20,0.33,17.6,1,0,0,1.6,1.6,0.16,+0.4,+0.4,Match Report
2019-01-19,17:30 ,Premier League,Matchweek 23,Sat,Away,L,0,2,Arsenal,0,14,1,7.1,0.00,0.00,16.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Match Report
2019-01-24,19:45 ,EFL Cup,Semi-finals,Thu,Home,W,2 (4),1 (2),Tottenham,2,21,5,23.8,0.10,0.40,,,0,0,,,,,,Match Report
2019-01-27,18:00 ,FA Cup,Fourth round,Sun,Home,W,3,0,Sheffield Weds,3,12,3,25.0,0.17,0.67,,,1,1,,,,,,Match Report
2019-01-30,19:45 ,Premier League,Matchweek 24,Wed,Away,L,0,4,Bournemouth,0,11,6,54.5,0.00,0.00,17.8,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report
2019-02-02,15:00 ,Premier League,Matchweek 25,Sat,Home,W,5,0,Huddersfield,5,20,6,30.0,0.20,0.67,15.9,0,1,1,2.9,2.1,0.11,+2.1,+1.9,Match Report
2019-02-10,16:00 ,Premier League,Matchweek 26,Sun,Away,L,0,6,Manchester City,0,12,5,41.7,0.00,0.00,19.3,1,0,0,0.9,0.9,0.07,-0.9,-0.9,Match Report
2019-02-14,21:00 ,Europa Lg,Round of 32,Thu,Away,W,2,1,se Malmö,2,11,5,45.5,0.18,0.40,10.8,0,0,0,2.4,2.4,0.21,-0.4,-0.4,Match Report
2019-02-18,19:30 ,FA Cup,Fifth round,Mon,Home,L,0,2,Manchester Utd,0,11,2,18.2,0.00,0.00,,,0,0,,,,,,Match Report
2019-02-21,20:00 ,Europa Lg,Round of 32,Thu,Home,W,3,0,se Malmö,3,12,7,58.3,0.25,0.43,14.7,2,0,0,1.9,1.9,0.16,+1.1,+1.1,Match Report
2019-02-24,16:30 ,EFL Cup,Final,Sun,Home,D,0 (3),0 (4),Manchester City,0,7,0,0.0,0.00,,,,0,0,,,,,,Match Report
2019-02-27,20:00 ,Premier League,Matchweek 28,Wed,Home,W,2,0,Tottenham,1,12,1,8.3,0.08,1.00,20.3,1,0,0,0.6,0.6,0.05,+0.4,+0.4,Match Report
2019-03-03,14:05 ,Premier League,Matchweek 29,Sun,Away,W,2,1,Fulham,2,20,7,35.0,0.10,0.29,15.1,0,0,0,1.7,1.7,0.09,+0.3,+0.3,Match Report
2019-03-07,20:00 ,Europa Lg,Round of 16,Thu,Home,W,3,0,ua Dynamo Kyiv,3,12,8,66.7,0.25,0.38,13.2,1,0,0,2.3,2.3,0.19,+0.7,+0.7,Match Report
2019-03-10,14:05 ,Premier League,Matchweek 30,Sun,Home,D,1,1,Wolves,1,21,5,23.8,0.05,0.20,20.0,2,0,0,1.5,1.5,0.07,-0.5,-0.5,Match Report
2019-03-14,19:55 ,Europa Lg,Round of 16,Thu,Away,W,5,0,ua Dynamo Kyiv,5,14,8,57.1,0.36,0.63,11.3,2,0,0,2.9,2.9,0.21,+2.1,+2.1,Match Report
2019-03-17,16:30 ,Premier League,Matchweek 31,Sun,Away,L,0,2,Everton,0,16,5,31.3,0.00,0.00,16.5,1,0,0,1.2,1.2,0.08,-1.2,-1.2,Match Report
2019-03-31,14:05 ,Premier League,Matchweek 32,Sun,Away,W,2,1,Cardiff City,2,20,3,15.0,0.10,0.67,19.2,1,0,0,1.5,1.5,0.08,+0.5,+0.5,Match Report
2019-04-03,19:45 ,Premier League,Matchweek 27,Wed,Home,W,3,0,Brighton,3,17,4,23.5,0.18,0.75,13.2,1,0,0,1.9,1.9,0.11,+1.1,+1.1,Match Report
2019-04-08,20:00 ,Premier League,Matchweek 33,Mon,Home,W,2,0,West Ham,2,16,7,43.8,0.13,0.29,14.5,2,0,0,1.9,1.9,0.12,+0.1,+0.1,Match Report
2019-04-11,21:00 ,Europa Lg,Quarter-finals,Thu,Away,W,1,0,cz Slavia Prague,1,8,2,25.0,0.13,0.50,15.9,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Match Report
2019-04-14,16:30 ,Premier League,Matchweek 34,Sun,Away,L,0,2,Liverpool,0,6,3,50.0,0.00,0.00,13.8,0,0,0,0.9,0.9,0.14,-0.9,-0.9,Match Report
2019-04-18,20:00 ,Europa Lg,Quarter-finals,Thu,Home,W,4,3,cz Slavia Prague,3,9,4,44.4,0.33,0.75,10.9,1,0,0,2.7,2.7,0.30,+0.3,+0.3,Match Report
2019-04-22,20:00 ,Premier League,Matchweek 35,Mon,Home,D,2,2,Burnley,2,22,7,31.8,0.09,0.29,18.5,0,0,0,1.1,1.1,0.05,+0.9,+0.9,Match Report
2019-04-28,16:30 ,Premier League,Matchweek 36,Sun,Away,D,1,1,Manchester Utd,1,16,3,18.8,0.06,0.33,19.1,2,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report
2019-05-02,21:00 ,Europa Lg,Semi-finals,Thu,Away,D,1,1,de Eint Frankfurt,1,16,5,31.3,0.06,0.20,18.7,1,0,0,1.0,1.0,0.06,0.0,0.0,Match Report
2019-05-05,14:00 ,Premier League,Matchweek 37,Sun,Home,W,3,0,Watford,3,18,9,50.0,0.17,0.33,14.3,0,0,0,1.9,1.9,0.11,+1.1,+1.1,Match Report
2019-05-09,20:00 ,Europa Lg,Semi-finals,Thu,Home,W,1 (4),1 (3),de Eint Frankfurt,1,17,6,35.3,-0.18,-0.50,19.1,0,4,5,1.9,0.9,0.07,+3.1,+0.1,Match Report
2019-05-12,15:00 ,Premier League,Matchweek 38,Sun,Away,D,0,0,Leicester City,0,14,4,28.6,0.00,0.00,19.1,0,0,0,1.5,1.5,0.11,-1.5,-1.5,Match Report
2019-05-29,23:00 ,Europa Lg,Final,Wed,Home,W,4,1,eng Arsenal,4,14,7,50.0,0.21,0.43,16.0,0,1,1,2.1,1.3,0.10,+1.9,+1.7,Match Report
