Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2014-08-24,21:00 ,La Liga,Matchweek 1,Sun,Home,W,3,0,Elche,3,,,,,,19.0,0,0,0,1.7,1.7,,+1.3,+1.3,Match Report
2014-08-31,19:00 ,La Liga,Matchweek 2,Sun,Away,W,1,0,Villarreal,1,,,,,,15.2,2,0,0,3.1,3.1,,-2.1,-2.1,Match Report
2014-09-13,16:00 ,La Liga,Matchweek 3,Sat,Home,W,2,0,Athletic Club,2,,,,,,14.6,0,0,0,2.3,2.3,,-0.3,-0.3,Match Report
2014-09-17,20:45 ,Champions Lg,Group stage,Wed,Home,W,1,0,cy APOEL FC,1,,,,,,,,0,0,,,,,,Match Report
2014-09-21,21:00 ,La Liga,Matchweek 4,Sun,Away,W,5,0,Levante,5,,,,,,17.1,0,0,1,3.4,2.6,,+1.6,+2.4,Match Report
2014-09-24,22:00 ,La Liga,Matchweek 5,Wed,Away,D,0,0,Málaga,0,,,,,,15.1,1,0,0,0.7,0.7,,-0.7,-0.7,Match Report
2014-09-27,18:00 ,La Liga,Matchweek 6,Sat,Home,W,6,0,Granada,6,,,,,,15.2,1,0,0,3.3,3.3,,+2.7,+2.7,Match Report
2014-09-30,20:45 ,Champions Lg,Group stage,Tue,Away,L,2,3,fr Paris S-G,2,,,,,,,,0,0,,,,,,Match Report
2014-10-04,18:00 ,La Liga,Matchweek 7,Sat,Away,W,2,0,Rayo Vallecano,2,,,,,,14.7,2,0,0,2.4,2.4,,-0.4,-0.4,Match Report
2014-10-18,20:00 ,La Liga,Matchweek 8,Sat,Home,W,3,0,Eibar,3,,,,,,14.6,0,0,0,3.1,3.1,,-0.1,-0.1,Match Report
2014-10-21,20:45 ,Champions Lg,Group stage,Tue,Home,W,3,1,nl Ajax,3,,,,,,,,0,0,,,,,,Match Report
2014-10-25,18:00 ,La Liga,Matchweek 9,Sat,Away,L,1,3,Real Madrid,1,,,,,,20.8,2,0,0,1.2,1.2,,-0.2,-0.2,Match Report
2014-11-01,20:00 ,La Liga,Matchweek 10,Sat,Home,L,0,1,Celta Vigo,0,,,,,,17.8,2,0,0,2.3,2.3,,-2.3,-2.3,Match Report
2014-11-05,20:45 ,Champions Lg,Group stage,Wed,Away,W,2,0,nl Ajax,2,,,,,,,,0,0,,,,,,Match Report
2014-11-08,16:00 ,La Liga,Matchweek 11,Sat,Away,W,2,1,Almería,2,,,,,,11.6,0,0,0,2.7,2.7,,-0.7,-0.7,Match Report
2014-11-22,20:00 ,La Liga,Matchweek 12,Sat,Home,W,5,1,Sevilla,5,,,,,,16.9,1,0,0,2.4,2.4,,+2.6,+2.6,Match Report
2014-11-25,21:45 ,Champions Lg,Group stage,Tue,Away,W,4,0,cy APOEL FC,4,,,,,,,,0,0,,,,,,Match Report
2014-11-30,21:00 ,La Liga,Matchweek 13,Sun,Away,W,1,0,Valencia,1,,,,,,17.0,1,0,0,1.6,1.6,,-0.6,-0.6,Match Report
2014-12-03,22:00 ,Copa del Rey,Round of 32,Wed,Away,W,4,0,Huesca,4,,,,,,,,0,0,,,,,,Match Report
2014-12-07,17:00 ,La Liga,Matchweek 14,Sun,Home,W,5,1,Espanyol,5,,,,,,17.0,2,0,0,2.2,2.2,,+2.8,+2.8,Match Report
2014-12-10,20:45 ,Champions Lg,Group stage,Wed,Home,W,3,1,fr Paris S-G,3,,,,,,,,0,0,,,,,,Match Report
2014-12-13,16:00 ,La Liga,Matchweek 15,Sat,Away,D,0,0,Getafe,0,,,,,,19.2,2,0,0,1.8,1.8,,-1.8,-1.8,Match Report
2014-12-16,22:00 ,Copa del Rey,Round of 32,Tue,Home,W,8,1,Huesca,8,,,,,,,,0,0,,,,,,Match Report
2014-12-20,16:00 ,La Liga,Matchweek 16,Sat,Home,W,5,0,Córdoba,5,,,,,,14.4,0,0,0,2.0,2.0,,+3.0,+3.0,Match Report
2015-01-04,21:00 ,La Liga,Matchweek 17,Sun,Away,L,0,1,Real Sociedad,0,,,,,,21.9,2,0,0,0.9,0.9,,-0.9,-0.9,Match Report
2015-01-08,22:00 ,Copa del Rey,Round of 16,Thu,Home,W,5,0,Elche,5,,,,,,,,1,1,,,,,,Match Report
2015-01-11,21:00 ,La Liga,Matchweek 18,Sun,Home,W,3,1,Atlético Madrid,3,,,,,,14.8,1,0,0,3.0,3.0,,0.0,0.0,Match Report
2015-01-15,22:00 ,Copa del Rey,Round of 16,Thu,Away,W,4,0,Elche,4,,,,,,,,1,1,,,,,,Match Report
2015-01-18,19:00 ,La Liga,Matchweek 19,Sun,Away,W,4,0,La Coruña,3,,,,,,18.4,1,0,0,2.2,2.2,,+0.8,+0.8,Match Report
2015-01-21,22:00 ,Copa del Rey,Quarter-finals,Wed,Home,W,1,0,Atlético Madrid,1,,,,,,,,0,1,,,,,,Match Report
2015-01-24,18:00 ,La Liga,Matchweek 20,Sat,Away,W,6,0,Elche,6,,,,,,16.1,2,1,1,3.1,2.3,,+2.9,+2.7,Match Report
2015-01-28,21:00 ,Copa del Rey,Quarter-finals,Wed,Away,W,3,2,Atlético Madrid,2,,,,,,,,0,0,,,,,,Match Report
2015-02-01,21:00 ,La Liga,Matchweek 21,Sun,Home,W,3,2,Villarreal,3,,,,,,15.7,1,0,0,3.3,3.3,,-0.3,-0.3,Match Report
2015-02-08,21:00 ,La Liga,Matchweek 22,Sun,Away,W,5,2,Athletic Club,4,,,,,,14.0,1,0,0,3.6,3.6,,+0.4,+0.4,Match Report
