Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
2016-02-10,21:00 ,Copa del Rey,Semi-finals,Wed,Away,D,1,1,Valencia,2,0,0,,,,,,,,,0,,,,,Match Report
2016-02-14,20:30 ,La Liga,Matchweek 24,Sun,Home,W,6,1,Celta Vigo,0,0,0,10,15,2,8,27,15,1,1,0,107,11,11,50.0,Match Report
2016-02-17,18:30 ,La Liga,Matchweek 16,Wed,Away,W,3,1,Sporting Gijón,1,0,0,7,11,2,6,13,15,1,0,0,90,14,8,63.6,Match Report
2016-02-20,15:00 ,La Liga,Matchweek 25,Sat,Away,W,2,1,Las Palmas,2,0,0,13,10,6,11,14,19,0,0,0,76,11,9,55.0,Match Report
2016-02-23,19:45 ,Champions Lg,Round of 16,Tue,Away,W,2,0,eng Arsenal,1,0,0,14,13,1,21,12,17,0,0,0,,,,,Match Report
2016-02-28,20:30 ,La Liga,Matchweek 26,Sun,Home,W,2,1,Sevilla,3,0,0,13,10,2,16,12,12,0,0,0,93,17,9,65.4,Match Report
2016-03-03,21:00 ,La Liga,Matchweek 27,Thu,Away,W,5,1,Rayo Vallecano,2,0,0,9,17,5,11,13,16,1,0,0,85,15,10,60.0,Match Report
2016-03-06,16:00 ,La Liga,Matchweek 28,Sun,Away,W,4,0,Eibar,2,0,0,10,15,4,14,18,12,0,0,0,96,13,12,52.0,Match Report
2016-03-12,16:00 ,La Liga,Matchweek 29,Sat,Home,W,6,0,Getafe,0,0,0,7,13,1,5,12,15,1,0,0,88,11,6,64.7,Match Report
2016-03-16,20:45 ,Champions Lg,Round of 16,Wed,Home,W,3,1,eng Arsenal,1,0,0,8,11,2,11,17,17,0,0,0,,,,,Match Report
2016-03-20,16:00 ,La Liga,Matchweek 30,Sun,Away,D,2,2,Villarreal,4,0,0,9,15,4,17,14,11,1,0,1,86,9,12,42.9,Match Report
2016-04-02,20:30 ,La Liga,Matchweek 31,Sat,Home,L,1,2,Real Madrid,3,0,0,17,13,3,8,13,14,0,0,0,71,6,6,50.0,Match Report
2016-04-05,20:45 ,Champions Lg,Quarter-finals,Tue,Home,W,2,1,es Atlético Madrid,3,0,0,19,16,3,21,18,21,0,0,0,,,,,Match Report
2016-04-09,20:30 ,La Liga,Matchweek 32,Sat,Away,L,0,1,Real Sociedad,3,0,0,13,14,4,17,18,13,0,0,0,110,19,14,57.6,Match Report
2016-04-13,20:45 ,Champions Lg,Quarter-finals,Wed,Away,L,0,2,es Atlético Madrid,4,0,0,10,18,0,18,10,21,0,0,0,,,,,Match Report
2016-04-17,20:30 ,La Liga,Matchweek 33,Sun,Home,L,1,2,Valencia,3,0,0,12,15,7,14,13,16,0,0,1,103,18,5,78.3,Match Report
2016-04-20,20:00 ,La Liga,Matchweek 34,Wed,Away,W,8,0,La Coruña,0,0,0,8,10,2,8,17,7,0,0,0,52,8,7,53.3,Match Report
2016-04-23,20:30 ,La Liga,Matchweek 35,Sat,Home,W,6,0,Sporting Gijón,0,0,0,11,10,1,16,12,10,2,0,0,92,13,8,61.9,Match Report
2016-04-30,20:30 ,La Liga,Matchweek 36,Sat,Away,W,2,0,Betis,3,0,0,11,9,3,20,9,13,0,0,0,86,16,5,76.2,Match Report
2016-05-08,17:00 ,La Liga,Matchweek 37,Sun,Home,W,5,0,Espanyol,3,0,0,15,24,1,18,12,11,0,0,0,96,12,10,54.5,Match Report
2016-05-14,17:00 ,La Liga,Matchweek 38,Sat,Away,W,3,0,Granada,2,0,0,10,11,3,11,9,15,0,0,0,68,16,3,84.2,Match Report
2016-05-22,21:30 ,Copa del Rey,Final,Sun,Home,W,2,0,Sevilla,4,1,0,,,,,,,,,0,,,,,Match Report
