Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2019-12-26,15:00 ,Premier League,Matchweek 19,Thu,Home,L,0,2,Southampton,0,10,4,40.0,0.00,0.00,15.6,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
2019-12-29,14:00 ,Premier League,Matchweek 20,Sun,Away,W,2,1,Arsenal,2,13,4,30.8,0.15,0.50,13.2,0,0,0,1.5,1.5,0.12,+0.5,+0.5,Match Report
2020-01-01,12:30 ,Premier League,Matchweek 21,Wed,Away,D,1,1,Brighton,1,16,4,25.0,0.06,0.25,15.9,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Match Report
2020-01-05,14:01 ,FA Cup,Third round,Sun,Home,W,2,0,Nott'ham Forest,2,17,5,29.4,0.12,0.40,,,0,0,,,,,,Match Report
2020-01-11,15:00 ,Premier League,Matchweek 22,Sat,Home,W,3,0,Burnley,3,17,7,41.2,0.12,0.29,13.5,1,1,1,2.6,1.8,0.12,+0.4,+0.2,Match Report
2020-01-18,17:30 ,Premier League,Matchweek 23,Sat,Away,L,0,1,Newcastle Utd,0,19,4,21.1,0.00,0.00,18.0,1,0,0,2.0,2.0,0.11,-2.0,-2.0,Match Report
2020-01-21,20:15 ,Premier League,Matchweek 24,Tue,Home,D,2,2,Arsenal,2,18,7,38.9,0.06,0.14,14.8,0,1,1,2.8,2.0,0.12,-0.8,-1.0,Match Report
2020-01-25,17:30 ,FA Cup,Fourth round,Sat,Away,W,2,1,Hull City,2,16,7,43.8,0.13,0.29,,,0,0,,,,,,Match Report
2020-02-01,12:30 ,Premier League,Matchweek 25,Sat,Away,D,2,2,Leicester City,2,7,3,42.9,0.29,0.67,14.9,1,0,0,0.4,0.4,0.06,+1.6,+1.6,Match Report
2020-02-17,20:00 ,Premier League,Matchweek 26,Mon,Home,L,0,2,Manchester Utd,0,17,0,0.0,0.00,,16.2,1,0,0,1.4,1.4,0.08,-1.4,-1.4,Match Report
2020-02-22,12:30 ,Premier League,Matchweek 27,Sat,Home,W,2,1,Tottenham,2,18,7,38.9,0.11,0.29,17.8,1,0,0,1.6,1.6,0.09,+0.4,+0.4,Match Report
2020-02-25,20:00 ,Champions Lg,Round of 16,Tue,Home,L,0,3,de Bayern Munich,0,8,3,37.5,0.00,0.00,14.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report
2020-02-29,15:00 ,Premier League,Matchweek 28,Sat,Away,D,2,2,Bournemouth,2,23,6,26.1,0.09,0.33,16.4,0,0,0,1.9,1.9,0.09,+0.1,+0.1,Match Report
2020-03-03,19:45 ,FA Cup,Fifth round,Tue,Home,W,2,0,Liverpool,2,17,7,41.2,0.12,0.29,,,0,0,,,,,,Match Report
2020-03-08,14:00 ,Premier League,Matchweek 29,Sun,Home,W,4,0,Everton,4,18,11,61.1,0.22,0.36,19.7,1,0,0,1.9,1.9,0.11,+2.1,+2.1,Match Report
2020-06-21,16:15 ,Premier League,Matchweek 30,Sun,Away,W,2,1,Aston Villa,2,19,5,26.3,0.11,0.40,17.7,0,0,0,1.3,1.3,0.07,+0.7,+0.7,Match Report
2020-06-25,20:15 ,Premier League,Matchweek 31,Thu,Home,W,2,1,Manchester City,2,14,6,42.9,0.07,0.17,10.4,0,1,1,3.1,2.7,0.24,-1.1,-1.7,Match Report
2020-06-28,16:00 ,FA Cup,Quarter-finals,Sun,Away,W,1,0,Leicester City,1,8,4,50.0,0.13,0.25,,,0,0,,,,,,Match Report
2020-07-01,20:15 ,Premier League,Matchweek 32,Wed,Away,L,2,3,West Ham,2,16,5,31.3,0.06,0.20,15.8,1,1,1,1.6,0.9,0.06,+0.4,+0.1,Match Report
2020-07-04,20:00 ,Premier League,Matchweek 33,Sat,Home,W,3,0,Watford,3,20,8,40.0,0.10,0.25,18.7,4,1,1,2.3,1.5,0.08,+0.7,+0.5,Match Report
2020-07-07,18:00 ,Premier League,Matchweek 34,Tue,Away,W,3,2,Crystal Palace,3,14,6,42.9,0.21,0.50,15.7,0,0,0,1.9,1.9,0.14,+1.1,+1.1,Match Report
2020-07-11,17:30 ,Premier League,Matchweek 35,Sat,Away,L,0,3,Sheffield Utd,0,15,4,26.7,0.00,0.00,15.2,1,0,0,0.9,0.9,0.06,-0.9,-0.9,Match Report
2020-07-14,20:15 ,Premier League,Matchweek 36,Tue,Home,W,1,0,Norwich City,1,22,6,27.3,0.05,0.17,13.0,1,0,0,2.4,2.4,0.11,-1.4,-1.4,Match Report
2020-07-19,18:00 ,FA Cup,Semi-finals,Sun,Neutral,W,3,1,Manchester Utd,2,13,7,53.8,0.15,0.29,,,0,0,,,,,,Match Report
2020-07-22,20:15 ,Premier League,Matchweek 37,Wed,Away,L,3,5,Liverpool,3,10,5,50.0,0.30,0.60,11.9,0,0,0,2.3,2.3,0.26,+0.7,+0.7,Match Report
2020-07-26,16:00 ,Premier League,Matchweek 38,Sun,Home,W,2,0,Wolves,2,11,3,27.3,0.18,0.67,15.8,1,0,0,1.3,1.3,0.12,+0.7,+0.7,Match Report
2020-08-01,17:30 ,FA Cup,Final,Sat,Neutral,L,1,2,Arsenal,1,9,3,33.3,0.11,0.33,,,0,0,,,,,,Match Report
2020-08-08,21:00 ,Champions Lg,Round of 16,Sat,Away,L,1,4,de Bayern Munich,1,10,4,40.0,0.10,0.25,19.3,1,0,0,1.0,1.0,0.10,0.0,0.0,Match Report
