Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Match Report
2017-03-04,20:45 ,La Liga,Matchweek 26,Sat,Home,W,5,0,Celta Vigo,1,0,0,10,15,3,11,10,11,0,0,0,Match Report
2017-03-08,20:45 ,Champions Lg,Round of 16,Wed,Home,W,6,1,fr Paris S-G,5,0,0,16,25,2,22,13,13,2,0,0,Match Report
2017-03-12,16:15 ,La Liga,Matchweek 27,Sun,Away,L,1,2,La Coruña,0,0,0,8,7,4,29,4,14,0,0,0,Match Report
2017-03-19,20:45 ,La Liga,Matchweek 28,Sun,Home,W,4,2,Valencia,3,0,0,4,12,2,9,10,13,1,0,0,Match Report
2017-04-02,20:45 ,La Liga,Matchweek 29,Sun,Away,W,4,1,Granada,3,0,0,10,15,7,20,7,16,0,0,0,Match Report
2017-04-05,19:30 ,La Liga,Matchweek 30,Wed,Home,W,3,0,Sevilla,4,0,0,16,11,0,5,15,13,0,0,0,Match Report
2017-04-08,20:45 ,La Liga,Matchweek 31,Sat,Away,L,0,2,Málaga,4,1,1,20,26,3,12,24,7,0,0,0,Match Report
2017-04-11,20:45 ,Champions Lg,Quarter-finals,Tue,Away,L,0,3,it Juventus,3,0,0,18,20,1,17,6,15,0,0,0,Match Report
2017-04-15,20:45 ,La Liga,Matchweek 32,Sat,Home,W,3,2,Real Sociedad,3,0,0,15,16,2,10,12,9,0,0,1,Match Report
2017-04-19,20:45 ,Champions Lg,Quarter-finals,Wed,Home,D,0,0,it Juventus,2,0,0,10,18,1,34,10,18,0,0,0,Match Report
2017-04-23,20:45 ,La Liga,Matchweek 33,Sun,Away,W,3,2,Real Madrid,2,0,0,9,12,2,11,11,8,0,0,0,Match Report
2017-04-26,19:30 ,La Liga,Matchweek 34,Wed,Home,W,7,1,Osasuna,0,0,0,4,7,1,23,4,18,1,0,0,Match Report
2017-04-29,20:45 ,La Liga,Matchweek 35,Sat,Away,W,3,0,Espanyol,0,0,0,18,19,1,10,12,12,0,0,0,Match Report
2017-05-06,18:30 ,La Liga,Matchweek 36,Sat,Home,W,4,1,Villarreal,2,0,0,10,10,4,10,18,20,0,0,0,Match Report
2017-05-14,19:00 ,La Liga,Matchweek 37,Sun,Away,W,4,1,Las Palmas,1,0,0,15,13,5,10,5,6,0,0,0,Match Report
2017-05-21,20:00 ,La Liga,Matchweek 38,Sun,Home,W,4,2,Eibar,1,0,0,3,16,10,13,16,7,2,0,0,Match Report
2017-05-27,21:30 ,Copa del Rey,Final,Sat,Home,W,3,1,Alavés,3,0,0,,,,,,,,,0,Match Report
