Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Match Report
2018-02-05,20:00 ,Premier League,Matchweek 26,Mon,Away,L,1,4,Watford,661,76,226,355,120,12,621,9,19,47.4,10,0,435,2664,1375,519,444,85.5,9,12,Match Report
2018-02-12,20:00 ,Premier League,Matchweek 27,Mon,Home,W,3,0,West Brom,698,60,233,301,228,38,668,8,12,66.7,9,0,415,3175,1681,509,481,94.5,14,10,Match Report
2018-02-16,20:00 ,FA Cup,Fifth round,Fri,Home,W,4,0,Hull City,,,,,,,,,,,,,,,,,,,,,Match Report
2018-02-20,19:45 ,Champions Lg,Round of 16,Tue,Home,D,1,1,es Barcelona,,,,,,,,,,,,,,,,,,,,,Match Report
2018-02-25,14:05 ,Premier League,Matchweek 28,Sun,Away,L,1,2,Manchester Utd,700,65,235,355,167,25,663,10,21,47.6,10,1,477,3295,1871,552,488,88.4,12,8,Match Report
2018-03-04,16:00 ,Premier League,Matchweek 29,Sun,Away,L,0,1,Manchester City,504,102,270,209,55,8,462,8,14,57.1,8,0,278,1689,901,386,327,84.7,8,7,Match Report
2018-03-10,17:30 ,Premier League,Matchweek 30,Sat,Home,W,2,1,Crystal Palace,741,63,218,264,305,44,706,10,17,58.8,11,0,457,2865,1825,533,525,98.5,11,15,Match Report
2018-03-14,20:45 ,Champions Lg,Round of 16,Wed,Away,L,0,3,es Barcelona,,,,,,,,,,,,,,,,,,,,,Match Report
2018-03-18,16:30 ,FA Cup,Quarter-finals,Sun,Away,W,2,1,Leicester City,,,,,,,,,,,,,,,,,,,,,Match Report
2018-04-01,16:00 ,Premier League,Matchweek 32,Sun,Home,L,1,3,Tottenham,619,47,220,275,177,34,587,4,9,44.4,5,1,346,2607,1260,443,377,85.1,17,16,Match Report
2018-04-08,16:30 ,Premier League,Matchweek 33,Sun,Home,D,1,1,West Ham,747,46,191,326,285,54,717,11,19,57.9,13,3,549,3505,1936,588,524,89.1,19,9,Match Report
2018-04-14,12:30 ,Premier League,Matchweek 34,Sat,Away,W,3,2,Southampton,678,47,200,283,236,23,641,10,14,71.4,11,0,491,2742,1526,507,443,87.4,10,6,Match Report
2018-04-19,19:45 ,Premier League,Matchweek 31,Thu,Away,W,2,1,Burnley,758,66,303,335,177,36,725,10,16,62.5,12,0,465,3697,1961,585,534,91.3,14,9,Match Report
2018-04-22,15:00 ,FA Cup,Semi-finals,Sun,Home,W,2,0,Southampton,,,,,,,,,,,,,,,,,,,,,Match Report
2018-04-28,17:30 ,Premier League,Matchweek 36,Sat,Away,W,1,0,Swansea City,706,76,298,305,158,30,684,8,18,44.4,9,0,492,3158,1869,578,502,86.9,8,11,Match Report
2018-05-06,16:30 ,Premier League,Matchweek 37,Sun,Home,W,1,0,Liverpool,495,64,222,176,125,21,464,6,6,100.0,6,1,256,1801,943,316,266,84.2,11,8,Match Report
2018-05-09,19:45 ,Premier League,Matchweek 35,Wed,Home,D,1,1,Huddersfield,977,26,161,431,438,72,938,8,14,57.1,10,0,629,3622,2040,772,718,93.0,24,17,Match Report
2018-05-13,15:00 ,Premier League,Matchweek 38,Sun,Away,L,0,3,Newcastle Utd,694,64,208,344,193,16,665,11,18,61.1,11,0,520,3009,1598,552,490,88.8,11,11,Match Report
2018-05-19,17:15 ,FA Cup,Final,Sat,Home,W,1,0,Manchester Utd,,,,,,,,,,,,,,,,,,,,,Match Report
