Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Match Report
2017-02-04,16:15 ,La Liga,Matchweek 21,Sat,Home,W,3,0,Athletic Club,,,,,,,,,,,,,,,,,,,,,Match Report
2017-02-07,21:00 ,Copa del Rey,Semi-finals,Tue,Home,D,1,1,Atlético Madrid,,,,,,,,,,,,,,,,,,,,,Match Report
2017-02-11,16:15 ,La Liga,Matchweek 22,Sat,Away,W,6,0,Alavés,,,,,,,,,,,,,,,,,,,,,Match Report
2017-02-14,20:45 ,Champions Lg,Round of 16,Tue,Away,L,0,4,fr Paris S-G,,,,,,,,,,,,,,,,,,,,,Match Report
2017-02-19,20:45 ,La Liga,Matchweek 23,Sun,Home,W,2,1,Leganés,,,,,,,,,,,,,,,,,,,,,Match Report
2017-02-26,16:15 ,La Liga,Matchweek 24,Sun,Away,W,2,1,Atlético Madrid,,,,,,,,,,,,,,,,,,,,,Match Report
2017-03-01,19:30 ,La Liga,Matchweek 25,Wed,Home,W,6,1,Sporting Gijón,,,,,,,,,,,,,,,,,,,,,Match Report
2017-03-04,20:45 ,La Liga,Matchweek 26,Sat,Home,W,5,0,Celta Vigo,,,,,,,,,,,,,,,,,,,,,Match Report
2017-03-08,20:45 ,Champions Lg,Round of 16,Wed,Home,W,6,1,fr Paris S-G,,,,,,,,,,,,,,,,,,,,,Match Report
2017-03-12,16:15 ,La Liga,Matchweek 27,Sun,Away,L,1,2,La Coruña,,,,,,,,,,,,,,,,,,,,,Match Report
2017-03-19,20:45 ,La Liga,Matchweek 28,Sun,Home,W,4,2,Valencia,,,,,,,,,,,,,,,,,,,,,Match Report
2017-04-02,20:45 ,La Liga,Matchweek 29,Sun,Away,W,4,1,Granada,,,,,,,,,,,,,,,,,,,,,Match Report
2017-04-05,19:30 ,La Liga,Matchweek 30,Wed,Home,W,3,0,Sevilla,,,,,,,,,,,,,,,,,,,,,Match Report
2017-04-08,20:45 ,La Liga,Matchweek 31,Sat,Away,L,0,2,Málaga,,,,,,,,,,,,,,,,,,,,,Match Report
2017-04-11,20:45 ,Champions Lg,Quarter-finals,Tue,Away,L,0,3,it Juventus,,,,,,,,,,,,,,,,,,,,,Match Report
2017-04-15,20:45 ,La Liga,Matchweek 32,Sat,Home,W,3,2,Real Sociedad,,,,,,,,,,,,,,,,,,,,,Match Report
2017-04-19,20:45 ,Champions Lg,Quarter-finals,Wed,Home,D,0,0,it Juventus,,,,,,,,,,,,,,,,,,,,,Match Report
2017-04-23,20:45 ,La Liga,Matchweek 33,Sun,Away,W,3,2,Real Madrid,,,,,,,,,,,,,,,,,,,,,Match Report
2017-04-26,19:30 ,La Liga,Matchweek 34,Wed,Home,W,7,1,Osasuna,,,,,,,,,,,,,,,,,,,,,Match Report
2017-04-29,20:45 ,La Liga,Matchweek 35,Sat,Away,W,3,0,Espanyol,,,,,,,,,,,,,,,,,,,,,Match Report
2017-05-06,18:30 ,La Liga,Matchweek 36,Sat,Home,W,4,1,Villarreal,,,,,,,,,,,,,,,,,,,,,Match Report
2017-05-14,19:00 ,La Liga,Matchweek 37,Sun,Away,W,4,1,Las Palmas,,,,,,,,,,,,,,,,,,,,,Match Report
2017-05-21,20:00 ,La Liga,Matchweek 38,Sun,Home,W,4,2,Eibar,,,,,,,,,,,,,,,,,,,,,Match Report
2017-05-27,21:30 ,Copa del Rey,Final,Sat,Home,W,3,1,Alavés,,,,,,,,,,,,,,,,,,,,,Match Report
