Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-01-30,21:30 (12:30),Copa del Rey,Quarter-finals,Wed,Home,W,6,1,Sevilla,,,62,"58,050",Lionel Messi,4-3-3,José Sánchez,Match Report,Leg 2 of 2; Barcelona won
2019-02-02,18:30 (09:30),La Liga,Matchweek 22,Sat,Home,D,2,2,Valencia,1.8,2.9,68,"76,789",Lionel Messi,4-3-3,Alberto Undiano,Match Report,
2019-02-06,21:00 (12:00),Copa del Rey,Semi-finals,Wed,Home,D,1,1,Real Madrid,,,57,"92,008",Sergio Busquets,4-3-3,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2019-02-10,20:45 (11:45),La Liga,Matchweek 23,Sun,Away,D,0,0,Athletic Club,0.9,1.4,66,"47,557",Lionel Messi,4-1-4-1,Carlos del Cerro,Match Report,
2019-02-16,20:45 (11:45),La Liga,Matchweek 24,Sat,Home,W,1,0,Valladolid,3.5,0.4,61,"67,435",Lionel Messi,4-1-4-1,Juan Martínez,Match Report,
2019-02-19,21:00 (12:00),Champions Lg,Round of 16,Tue,Away,D,0,0,fr Lyon,2.4,0.4,62,"57,889",Lionel Messi,4-1-4-1,Cüneyt Çakιr,Match Report,Leg 1 of 2
2019-02-23,16:15 (07:15),La Liga,Matchweek 25,Sat,Away,W,4,2,Sevilla,1.7,1.1,60,"40,661",Lionel Messi,4-1-4-1,Antonio Matéu Lahoz,Match Report,
2019-02-27,21:00 (12:00),Copa del Rey,Semi-finals,Wed,Away,W,3,0,Real Madrid,,,52,"80,472",Lionel Messi,4-4-2,José Sánchez,Match Report,Leg 2 of 2; Barcelona won
2019-03-02,20:45 (11:45),La Liga,Matchweek 26,Sat,Away,W,1,0,Real Madrid,1.6,1.1,51,"78,921",Lionel Messi,4-3-3,Alberto Undiano,Match Report,
2019-03-09,18:30 (09:30),La Liga,Matchweek 27,Sat,Home,W,3,1,Rayo Vallecano,2.8,0.3,68,"74,158",Lionel Messi,4-3-3,Mario Melero,Match Report,
2019-03-13,21:00 (13:00),Champions Lg,Round of 16,Wed,Home,W,5,1,fr Lyon,5.0,0.4,55,"92,346",Lionel Messi,4-3-3,Szymon Marciniak,Match Report,Leg 2 of 2; Barcelona won
2019-03-17,20:45 (12:45),La Liga,Matchweek 28,Sun,Away,W,4,1,Betis,2.9,1.0,44,"54,172",Lionel Messi,4-4-2,Ricardo de Burgos,Match Report,
2019-03-30,16:15 (08:15),La Liga,Matchweek 29,Sat,Home,W,2,0,Espanyol,1.1,0.2,68,"92,795",Lionel Messi,4-3-3,Carlos del Cerro,Match Report,
2019-04-02,21:30 (12:30),La Liga,Matchweek 30,Tue,Away,D,4,4,Villarreal,2.4,2.8,67,"19,515",Sergio Busquets,4-3-3,Alejandro Hernández,Match Report,
