Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Match Report
2014-08-24,21:00 ,La Liga,Matchweek 1,Sun,Home,W,3,0,Elche,24,17,2,2,0,2,1,6,4,1,1,0,0,0,0,Match Report
2014-08-31,19:00 ,La Liga,Matchweek 2,Sun,Away,W,1,0,Villarreal,33,21,4,0,3,2,3,1,0,0,0,1,0,0,0,Match Report
2014-09-13,16:00 ,La Liga,Matchweek 3,Sat,Home,W,2,0,Athletic Club,28,22,0,4,0,1,1,4,3,0,1,0,0,0,0,Match Report
2014-09-17,20:45 ,Champions Lg,Group stage,Wed,Home,W,1,0,cy APOEL FC,,,,,,,,,,,,,,,,Match Report
2014-09-21,21:00 ,La Liga,Matchweek 4,Sun,Away,W,5,0,Levante,25,20,0,4,0,1,0,7,4,0,3,0,0,0,0,Match Report
2014-09-24,22:00 ,La Liga,Matchweek 5,Wed,Away,D,0,0,Málaga,15,9,3,1,1,1,0,0,0,0,0,0,0,0,0,Match Report
2014-09-27,18:00 ,La Liga,Matchweek 6,Sat,Home,W,6,0,Granada,31,28,0,2,0,1,0,8,7,0,1,0,0,0,0,Match Report
2014-09-30,20:45 ,Champions Lg,Group stage,Tue,Away,L,2,3,fr Paris S-G,,,,,,,,,,,,,,,,Match Report
2014-10-04,18:00 ,La Liga,Matchweek 7,Sat,Away,W,2,0,Rayo Vallecano,29,21,3,1,2,2,0,3,3,0,0,0,0,0,0,Match Report
2014-10-18,20:00 ,La Liga,Matchweek 8,Sat,Home,W,3,0,Eibar,46,35,5,4,1,1,0,6,6,0,0,0,0,0,0,Match Report
2014-10-21,20:45 ,Champions Lg,Group stage,Tue,Home,W,3,1,nl Ajax,,,,,,,,,,,,,,,,Match Report
2014-10-25,18:00 ,La Liga,Matchweek 9,Sat,Away,L,1,3,Real Madrid,18,16,0,0,0,2,0,2,2,0,0,0,0,0,0,Match Report
2014-11-01,20:00 ,La Liga,Matchweek 10,Sat,Home,L,0,1,Celta Vigo,34,28,1,2,0,2,1,0,0,0,0,0,0,0,0,Match Report
2014-11-05,20:45 ,Champions Lg,Group stage,Wed,Away,W,2,0,nl Ajax,,,,,,,,,,,,,,,,Match Report
2014-11-08,16:00 ,La Liga,Matchweek 11,Sat,Away,W,2,1,Almería,27,17,1,2,6,0,1,4,4,0,0,0,0,0,0,Match Report
2014-11-22,20:00 ,La Liga,Matchweek 12,Sat,Home,W,5,1,Sevilla,24,21,0,2,0,1,0,10,9,0,0,0,1,0,0,Match Report
2014-11-25,21:45 ,Champions Lg,Group stage,Tue,Away,W,4,0,cy APOEL FC,,,,,,,,,,,,,,,,Match Report
2014-11-30,21:00 ,La Liga,Matchweek 13,Sun,Away,W,1,0,Valencia,19,14,1,0,3,1,0,1,0,0,0,1,0,0,0,Match Report
2014-12-03,22:00 ,Copa del Rey,Round of 32,Wed,Away,W,4,0,Huesca,,,,,,,,,,,,,,,,Match Report
2014-12-07,17:00 ,La Liga,Matchweek 14,Sun,Home,W,5,1,Espanyol,28,22,2,2,0,2,0,10,8,1,1,0,0,0,0,Match Report
2014-12-10,20:45 ,Champions Lg,Group stage,Wed,Home,W,3,1,fr Paris S-G,,,,,,,,,,,,,,,,Match Report
2014-12-13,16:00 ,La Liga,Matchweek 15,Sat,Away,D,0,0,Getafe,36,24,1,3,3,4,1,0,0,0,0,0,0,0,0,Match Report
2014-12-16,22:00 ,Copa del Rey,Round of 32,Tue,Home,W,8,1,Huesca,,,,,,,,,,,,,,,,Match Report
2014-12-20,16:00 ,La Liga,Matchweek 16,Sat,Home,W,5,0,Córdoba,24,19,1,3,0,1,0,6,4,1,0,0,1,0,0,Match Report
2015-01-04,21:00 ,La Liga,Matchweek 17,Sun,Away,L,0,1,Real Sociedad,30,23,2,1,1,2,1,0,0,0,0,0,0,0,0,Match Report
2015-01-08,22:00 ,Copa del Rey,Round of 16,Thu,Home,W,5,0,Elche,,,,,,,,,,,,,,,,Match Report
2015-01-11,21:00 ,La Liga,Matchweek 18,Sun,Home,W,3,1,Atlético Madrid,25,14,1,5,3,2,0,2,1,0,1,0,0,0,0,Match Report
2015-01-15,22:00 ,Copa del Rey,Round of 16,Thu,Away,W,4,0,Elche,,,,,,,,,,,,,,,,Match Report
2015-01-18,19:00 ,La Liga,Matchweek 19,Sun,Away,W,4,0,La Coruña,28,16,2,5,0,2,2,7,4,1,1,0,0,0,1,Match Report
2015-01-21,22:00 ,Copa del Rey,Quarter-finals,Wed,Home,W,1,0,Atlético Madrid,,,,,,,,,,,,,,,,Match Report
2015-01-24,18:00 ,La Liga,Matchweek 20,Sat,Away,W,6,0,Elche,22,15,1,2,0,4,0,12,7,1,2,0,2,0,0,Match Report
2015-01-28,21:00 ,Copa del Rey,Quarter-finals,Wed,Away,W,3,2,Atlético Madrid,,,,,,,,,,,,,,,,Match Report
2015-02-01,21:00 ,La Liga,Matchweek 21,Sun,Home,W,3,2,Villarreal,26,20,1,1,2,2,0,4,2,0,0,2,0,0,0,Match Report
2015-02-08,21:00 ,La Liga,Matchweek 22,Sun,Away,W,5,2,Athletic Club,39,33,1,3,1,0,0,8,7,0,0,0,0,0,1,Match Report
2015-02-11,20:00 ,Copa del Rey,Semi-finals,Wed,Home,W,3,1,Villarreal,,,,,,,,,,,,,,,,Match Report
