Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
2014-08-24,21:00 ,La Liga,Matchweek 1,Sun,Home,W,3,0,Elche,0,1,0,,,,,,,,,0,67,3,5,37.5,Match Report
2014-08-31,19:00 ,La Liga,Matchweek 2,Sun,Away,W,1,0,Villarreal,2,0,0,,,,,,,,,0,99,12,5,70.6,Match Report
2014-09-13,16:00 ,La Liga,Matchweek 3,Sat,Home,W,2,0,Athletic Club,1,0,0,,,,,,,,,0,124,10,18,35.7,Match Report
2014-09-17,20:45 ,Champions Lg,Group stage,Wed,Home,W,1,0,cy APOEL FC,0,0,0,,,,,,,,,0,,,,,Match Report
2014-09-21,21:00 ,La Liga,Matchweek 4,Sun,Away,W,5,0,Levante,2,0,0,,,,,,,,,0,88,12,9,57.1,Match Report
2014-09-24,22:00 ,La Liga,Matchweek 5,Wed,Away,D,0,0,Málaga,2,0,0,,,,,,,,,0,85,19,11,63.3,Match Report
2014-09-27,18:00 ,La Liga,Matchweek 6,Sat,Home,W,6,0,Granada,1,0,0,,,,,,,,,0,85,9,10,47.4,Match Report
2014-09-30,20:45 ,Champions Lg,Group stage,Tue,Away,L,2,3,fr Paris S-G,1,0,0,,,,,,,,,0,,,,,Match Report
2014-10-04,18:00 ,La Liga,Matchweek 7,Sat,Away,W,2,0,Rayo Vallecano,2,0,0,,,,,,,,,0,85,11,18,37.9,Match Report
2014-10-18,20:00 ,La Liga,Matchweek 8,Sat,Home,W,3,0,Eibar,2,0,0,,,,,,,,,0,82,13,14,48.1,Match Report
2014-10-21,20:45 ,Champions Lg,Group stage,Tue,Home,W,3,1,nl Ajax,1,0,0,,,,,,,,,0,,,,,Match Report
2014-10-25,18:00 ,La Liga,Matchweek 9,Sat,Away,L,1,3,Real Madrid,4,0,0,,,,,,,,,0,73,7,9,43.8,Match Report
2014-11-01,20:00 ,La Liga,Matchweek 10,Sat,Home,L,0,1,Celta Vigo,1,0,0,,,,,,,,,0,119,13,21,38.2,Match Report
2014-11-05,20:45 ,Champions Lg,Group stage,Wed,Away,W,2,0,nl Ajax,3,0,0,,,,,,,,,0,,,,,Match Report
2014-11-08,16:00 ,La Liga,Matchweek 11,Sat,Away,W,2,1,Almería,0,0,0,,,,,,,,,0,85,18,15,54.5,Match Report
2014-11-22,20:00 ,La Liga,Matchweek 12,Sat,Home,W,5,1,Sevilla,1,0,0,,,,,,,,,1,90,6,6,50.0,Match Report
2014-11-25,21:45 ,Champions Lg,Group stage,Tue,Away,W,4,0,cy APOEL FC,3,1,1,,,,,,,,,0,,,,,Match Report
2014-11-30,21:00 ,La Liga,Matchweek 13,Sun,Away,W,1,0,Valencia,4,0,0,,,,,,,,,0,100,14,13,51.9,Match Report
2014-12-03,22:00 ,Copa del Rey,Round of 32,Wed,Away,W,4,0,Huesca,1,0,0,,,,,,,,,0,,,,,Match Report
2014-12-07,17:00 ,La Liga,Matchweek 14,Sun,Home,W,5,1,Espanyol,0,0,0,,,,,,,,,0,100,8,8,50.0,Match Report
2014-12-10,20:45 ,Champions Lg,Group stage,Wed,Home,W,3,1,fr Paris S-G,0,0,0,,,,,,,,,0,,,,,Match Report
2014-12-13,16:00 ,La Liga,Matchweek 15,Sat,Away,D,0,0,Getafe,0,0,0,,,,,,,,,0,116,14,10,58.3,Match Report
2014-12-16,22:00 ,Copa del Rey,Round of 32,Tue,Home,W,8,1,Huesca,0,0,0,,,,,,,,,0,,,,,Match Report
2014-12-20,16:00 ,La Liga,Matchweek 16,Sat,Home,W,5,0,Córdoba,1,0,0,,,,,,,,,0,106,12,9,57.1,Match Report
2015-01-04,21:00 ,La Liga,Matchweek 17,Sun,Away,L,0,1,Real Sociedad,4,0,0,,,,,,,,,1,119,9,15,37.5,Match Report
2015-01-08,22:00 ,Copa del Rey,Round of 16,Thu,Home,W,5,0,Elche,0,0,0,,,,,,,,,0,,,,,Match Report
2015-01-11,21:00 ,La Liga,Matchweek 18,Sun,Home,W,3,1,Atlético Madrid,3,0,0,,,,,,,,,0,95,9,12,42.9,Match Report
2015-01-15,22:00 ,Copa del Rey,Round of 16,Thu,Away,W,4,0,Elche,1,0,0,,,,,,,,,0,,,,,Match Report
2015-01-18,19:00 ,La Liga,Matchweek 19,Sun,Away,W,4,0,La Coruña,2,0,0,,,,,,,,,0,101,7,8,46.7,Match Report
2015-01-21,22:00 ,Copa del Rey,Quarter-finals,Wed,Home,W,1,0,Atlético Madrid,2,0,0,,,,,,,,,0,,,,,Match Report
2015-01-24,18:00 ,La Liga,Matchweek 20,Sat,Away,W,6,0,Elche,2,0,0,,,,,,,,,0,76,7,8,46.7,Match Report
2015-01-28,21:00 ,Copa del Rey,Quarter-finals,Wed,Away,W,3,2,Atlético Madrid,3,0,0,,,,,,,,,0,,,,,Match Report
2015-02-01,21:00 ,La Liga,Matchweek 21,Sun,Home,W,3,2,Villarreal,1,0,0,,,,,,,,,0,95,14,13,51.9,Match Report
2015-02-08,21:00 ,La Liga,Matchweek 22,Sun,Away,W,5,2,Athletic Club,1,0,0,,,,,,,,,0,102,20,6,76.9,Match Report
2015-02-11,20:00 ,Copa del Rey,Semi-finals,Wed,Home,W,3,1,Villarreal,1,0,0,,,,,,,,,0,,,,,Match Report
2015-02-15,17:00 ,La Liga,Matchweek 23,Sun,Home,W,5,0,Levante,1,0,0,,,,,,,,,0,95,11,9,55.0,Match Report
2015-02-21,16:00 ,La Liga,Matchweek 24,Sat,Home,L,0,1,Málaga,4,0,0,,,,,,,,,0,113,18,21,46.2,Match Report
2015-02-24,19:45 ,Champions Lg,Round of 16,Tue,Away,W,2,1,eng Manchester City,3,0,0,,,,,,,,,0,,,,,Match Report
2015-02-28,16:00 ,La Liga,Matchweek 25,Sat,Away,W,3,1,Granada,3,0,0,,,,,,,,,0,88,13,12,52.0,Match Report
2015-03-04,20:00 ,Copa del Rey,Semi-finals,Wed,Away,W,3,1,Villarreal,1,0,0,,,,,,,,,0,,,,,Match Report
